geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Rise,26694592,9806383
NA,,,Rise,26694594,9806529
NA,,,Talf,26694594,9806530
NA,,,Rise,26694596,9806382
NA,,,Rise,26694644,9806539
NA,,,Talf,26694644,9806540
NA,,,Rise,26694646,9806386
NA,,,Dip,26694648,9806387
NA,,,Talf,26694650,9806323
NA,,,Talf,26694654,9806459
NA,,,Rise,26694656,9806543
NA,,,Talf,26694656,9806544
