soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,140,170,190,Moist,184730497,114840600
140,170,190,200,200,200,Wet,184730497,114840601
160,190,200,200,200,200,Wet,184730498,114840602
0,0,0,160,190,200,Moist,184730498,114840603
0,0,0,140,160,160,Moist,184730499,114840604
140,160,160,200,200,200,Wet,184730499,114840605
190,200,200,200,200,200,Wet,184730500,114840606
0,0,0,190,200,200,Moist,184730500,114840607
0,0,0,120,150,160,Moist,184730501,114840608
120,150,160,200,200,200,Wet,184730501,114840609
0,0,0,180,200,200,Moist,184730502,114840610
180,200,200,200,200,200,Wet,184730502,114840611
0,0,0,130,170,190,Moist,184730503,114840612
130,170,190,200,200,200,Wet,184730503,114840613
0,0,0,180,200,200,Moist,184730504,114840614
180,200,200,200,200,200,Wet,184730504,114840615
0,0,0,180,200,200,Moist,184730505,114840616
180,200,200,200,200,200,Wet,184730505,114840617
190,200,200,200,200,200,Wet,184730506,114840618
0,0,0,190,200,200,Moist,184730506,114840619
180,200,200,200,200,200,Wet,184730507,114840620
0,0,0,180,200,200,Moist,184730507,114840621
140,170,200,200,200,200,Wet,184730508,114840622
0,0,0,140,170,200,Moist,184730508,114840623
0,0,0,130,170,180,Moist,184730509,114840624
130,170,180,200,200,200,Wet,184730509,114840625
0,0,0,70,100,120,Moist,184730510,114840626
70,100,120,200,200,200,Wet,184730510,114840627
0,0,0,50,80,90,Moist,184730511,114840628
50,80,90,200,200,200,Wet,184730511,114840629
0,0,0,50,70,70,Moist,184730512,114840630
50,70,70,200,200,200,Wet,184730512,114840631
0,0,0,110,150,180,Moist,184730513,114840632
110,150,180,200,200,200,Wet,184730513,114840633
0,0,0,60,90,100,Moist,184730514,114840634
60,90,100,200,200,200,Wet,184730514,114840635
0,0,0,80,110,140,Moist,184730515,114840636
80,110,140,200,200,200,Wet,184730515,114840637
0,0,0,120,130,180,Moist,184730516,114840638
120,130,180,200,200,200,Wet,184730516,114840639
0,0,0,100,120,130,Moist,184730517,114840640
100,120,130,200,200,200,Wet,184730517,114840641
0,0,0,30,50,60,Moist,184730518,114840642
30,50,60,200,200,200,Wet,184730518,114840643
0,0,0,90,120,130,Moist,184730519,114840644
90,120,130,200,200,200,Wet,184730519,114840645
0,0,0,60,80,80,Moist,184730520,114840646
60,80,80,200,200,200,Wet,184730520,114840647
0,0,0,140,170,190,Moist,184730521,114840648
140,170,190,200,200,200,Wet,184730521,114840649
0,0,0,160,190,200,Moist,184730522,114840650
160,190,200,200,200,200,Wet,184730522,114840651
0,0,0,140,160,160,Moist,184730523,114840652
140,160,160,200,200,200,Wet,184730523,114840653
0,0,0,190,200,200,Moist,184730524,114840654
190,200,200,200,200,200,Wet,184730524,114840655
0,0,0,120,150,160,Moist,184730525,114840656
120,150,160,200,200,200,Wet,184730525,114840657
0,0,0,180,200,200,Moist,184730526,114840658
180,200,200,200,200,200,Wet,184730526,114840659
0,0,0,130,170,190,Moist,184730527,114840660
130,170,190,200,200,200,Wet,184730527,114840661
0,0,0,180,200,200,Moist,184730528,114840662
180,200,200,200,200,200,Wet,184730528,114840663
0,0,0,180,200,200,Moist,184730529,114840664
180,200,200,200,200,200,Wet,184730529,114840665
0,0,0,190,200,200,Moist,184730530,114840666
190,200,200,200,200,200,Wet,184730530,114840667
0,0,0,180,200,200,Moist,184730531,114840668
180,200,200,200,200,200,Wet,184730531,114840669
0,0,0,140,170,200,Moist,184730532,114840670
140,170,200,200,200,200,Wet,184730532,114840671
0,0,0,100,120,130,Moist,184730629,114840864
100,120,130,200,200,200,Wet,184730629,114840865
0,0,0,120,130,180,Moist,184730630,114840866
120,130,180,200,200,200,Wet,184730630,114840867
0,0,0,50,80,90,Moist,184730631,114840868
50,70,90,200,200,200,Wet,184730631,114840869
