desgnsuffix,chkey,chdesgnsfxkey
p,51439029,20313119
k,51439030,20312987
p,51439032,20313104
g,51439034,20313105
g,51439034,20313106
w,51439035,20313038
p,51439036,20313174
p,51439071,20313450
g,51439073,20313451
g,51439073,20313452
p,51439074,20313071
w,51439075,20313200
g,51439078,20313127
p,51439079,20313129
g,51439081,20313128
g,51439084,20313048
p,51439085,20313184
k,51439086,20313185
g,51439086,20313186
g,51439087,20313201
p,51439088,20313072
g,51439090,20313454
p,51439092,20313361
g,51439094,20313362
g,51439094,20313363
p,51439095,20312981
g,51439096,20313235
g,51439097,20312982
