hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26694592,11053975
Shoulder,26694592,11053976
Backslope,26694592,11053977
Summit,26694596,11053972
Shoulder,26694596,11053973
Backslope,26694596,11053974
Backslope,26694646,11054122
Summit,26694646,11054123
Shoulder,26694646,11054124
