fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439028,88089474
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439028,88089475
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439028,88089476
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439028,88089477
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439028,88089478
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439029,88089479
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439029,88089480
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439029,88089481
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439029,88089482
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439029,88089483
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439030,88089484
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439030,88089485
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439030,88089486
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439030,88089487
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439030,88089488
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439031,88089489
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439031,88089490
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439031,88089491
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439031,88089492
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439031,88089493
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439032,88089494
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439032,88089495
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439032,88089496
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439032,88089497
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439032,88089498
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439033,88089499
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439033,88089500
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439033,88089501
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439033,88089502
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439033,88089503
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439034,88089504
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439034,88089505
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439034,88089506
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439034,88089507
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439034,88089508
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439035,88089509
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439035,88089510
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439035,88089511
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439035,88089512
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439035,88089513
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439036,88089514
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439036,88089515
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439036,88089516
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439036,88089517
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439036,88089518
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439037,88089519
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439037,88089520
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439037,88089521
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439037,88089522
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439037,88089523
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439038,88089524
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439038,88089525
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439038,88089526
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439038,88089527
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439038,88089528
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439070,88089684
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439070,88089685
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439070,88089686
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439070,88089687
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439070,88089688
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439071,88089689
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439071,88089690
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439071,88089691
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439071,88089692
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439071,88089693
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439072,88089694
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439072,88089695
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439072,88089696
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439072,88089697
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439072,88089698
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439073,88089699
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439073,88089700
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439073,88089701
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439073,88089702
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439073,88089703
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439074,88089704
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439074,88089705
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439074,88089706
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439074,88089707
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439074,88089708
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51439075,88089709
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51439075,88089710
0,0,1,Mixed rock fragments,600,1300,2000,Nonflat,Subrounded,Indurated,51439075,88089711
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51439075,88089712
0,1,8,Mixed rock fragments,5,40,75,Nonflat,Subrounded,Indurated,51439075,88089713
