ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R103XY002MN,Calcareous Upland Prairies,17607989,5370561
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17607990,5370562
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17607991,5370563
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17608000,5370580
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17608001,5370581
NRCS Rangeland Site,Ecological Site Description Database,R103XY001MN,Loamy Wet Prairies,17608002,5370582
NRCS Rangeland Site,Ecological Site Description Database,R103XY001MN,Loamy Wet Prairies,17608003,5370583
NRCS Rangeland Site,Ecological Site Description Database,R103XY001MN,Loamy Wet Prairies,17608004,5370584
NRCS Rangeland Site,Ecological Site Description Database,R103XY004MN,Loamy Upland Prairies,17608005,5370585
NRCS Rangeland Site,Ecological Site Description Database,R103XY015MN,Depressional Marsh,17608006,5370586
