musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",NA,3,3.5,NA,150,150,None,None,0,5.12,9.64,18.64,27.64,Well drained,Well drained,B,NA,100,2,85,Not limited,Somewhat limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Poor,Somewhat limited,0.03,Moderate,0,0.066,2765522
L55,"Nicollet loam, 1 to 3 percent slopes",NA,2,2.1,NA,50,50,None,None,0,5.21,10.04,19.04,28.04,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,100,1,85,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.241,Slight,5,0.902,2834849
L107,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",NA,1,1,NA,15,15,None,None,3,4.57,9.12,18.15,27.17,Poorly drained,Poorly drained,C/D,NA,100,2,92,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.961,Slight,95,1,2835012
