aashtocl,rvindicator,chkey,chaashtokey
A-6,Yes,51439029,84105826
A-6,Yes,51439036,84105838
A-6,Yes,51439038,84105840
A-6,No ,51439070,84105907
A-7-5,No ,51439070,84105908
A-7-6,Yes,51439070,84105909
A-6,No ,51439072,84105911
A-4,Yes,51439072,84105912
A-7-6,No ,51439077,84105920
A-6,Yes,51439077,84105921
A-7-5,Yes,51439079,84105924
A-7-6,No ,51439079,84105925
A-4,No ,51439086,84105940
A-7-6,No ,51439086,84105941
A-6,Yes,51439086,84105942
A-7-6,No ,51439088,84105945
A-7-5,Yes,51439088,84105946
A-6,No ,51439093,84105955
A-4,Yes,51439093,84105956
A-7-5,Yes,51439095,84105959
A-7-6,No ,51439095,84105960
A-7-6,Yes,51439097,84105963
A-6,No ,51439097,84105964
A-6,No ,51439031,84105829
A-7-6,Yes,51439031,84105830
A-7-5,No ,51439031,84105831
A-7-5,Yes,51439032,84105832
A-6,No ,51439033,84105833
A-4,Yes,51439033,84105834
A-6,Yes,51439034,84105835
A-7-6,No ,51439034,84105836
A-6,Yes,51439081,84105927
A-7-6,No ,51439081,84105928
A-4,No ,51439081,84105929
A-7-6,Yes,51439082,84105930
A-6,No ,51439082,84105931
A-7-5,No ,51439082,84105932
A-7-5,No ,51439083,84105933
A-6,No ,51439083,84105934
A-7-6,Yes,51439083,84105935
A-6,No ,51439084,84105936
A-4,Yes,51439084,84105937
A-7-5,Yes,51439098,84105965
A-7-6,No ,51439098,84105966
A-7-6,No ,51439073,84105913
A-6,Yes,51439073,84105914
A-7-5,No ,51439074,84105915
A-6,Yes,51439074,84105916
A-6,Yes,51439075,84105917
A-6,No ,51439076,84105918
A-4,Yes,51439076,84105919
A-7-6,Yes,51439089,84105947
A-7-6,No ,51439090,84105948
A-4,No ,51439090,84105949
A-6,Yes,51439090,84105950
A-6,No ,51439091,84105951
A-7-6,Yes,51439091,84105952
A-7-5,No ,51439091,84105953
A-7-5,Yes,51439092,84105954
A-4,Yes,51439028,84105824
A-6,No ,51439028,84105825
A-6,Yes,51439030,84105827
A-4,No ,51439030,84105828
A-6,Yes,51439035,84105837
A-4,Yes,51439037,84105839
A-7-5,Yes,51439071,84105910
A-4,Yes,51439078,84105922
A-6,No ,51439078,84105923
A-7-6,Yes,51439080,84105926
A-7-5,Yes,51439085,84105938
A-7-6,No ,51439085,84105939
A-6,No ,51439087,84105943
A-4,Yes,51439087,84105944
A-6,Yes,51439094,84105957
A-7-6,No ,51439094,84105958
A-6,No ,51439096,84105961
A-7-6,Yes,51439096,84105962
