texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
L,No ,Yes,Loam,51439028,102766696
SL,No ,No ,Sandy loam,51439028,102766697
SL,No ,No ,Sandy loam,51439029,102766698
L,No ,Yes,Loam,51439029,102766699
SCL,No ,No ,Sandy clay loam,51439029,102766700
L,No ,Yes,Loam,51439030,102766701
CL,No ,No ,Clay loam,51439031,102766702
L,No ,Yes,Loam,51439031,102766703
L,No ,Yes,Loam,51439032,102766704
CL,No ,No ,Clay loam,51439032,102766705
SL,No ,No ,Sandy loam,51439033,102766706
L,No ,Yes,Loam,51439033,102766707
L,No ,Yes,Loam,51439034,102766708
CL,No ,No ,Clay loam,51439034,102766709
L,No ,Yes,Loam,51439035,102766710
SCL,No ,No ,Sandy clay loam,51439035,102766711
SL,No ,No ,Sandy loam,51439035,102766712
L,No ,Yes,Loam,51439036,102766713
SCL,No ,No ,Sandy clay loam,51439036,102766714
SL,No ,No ,Sandy loam,51439036,102766715
L,No ,Yes,Loam,51439037,102766716
SL,No ,No ,Sandy loam,51439037,102766717
L,No ,Yes,Loam,51439038,102766718
SCL,No ,No ,Sandy clay loam,51439038,102766719
SL,No ,No ,Sandy loam,51439038,102766720
CL,No ,No ,Clay loam,51439070,102766796
L,No ,Yes,Loam,51439070,102766797
L,No ,Yes,Loam,51439071,102766798
CL,No ,No ,Clay loam,51439071,102766799
SL,No ,No ,Sandy loam,51439072,102766800
L,No ,Yes,Loam,51439072,102766801
L,No ,Yes,Loam,51439073,102766802
CL,No ,No ,Clay loam,51439073,102766803
L,No ,Yes,Loam,51439074,102766804
SCL,No ,No ,Sandy clay loam,51439074,102766805
SL,No ,No ,Sandy loam,51439074,102766806
SCL,No ,No ,Sandy clay loam,51439075,102766807
SL,No ,No ,Sandy loam,51439075,102766808
L,No ,Yes,Loam,51439075,102766809
SL,No ,No ,Sandy loam,51439076,102766810
L,No ,Yes,Loam,51439076,102766811
SCL,No ,No ,Sandy clay loam,51439077,102766812
SL,No ,No ,Sandy loam,51439077,102766813
L,No ,Yes,Loam,51439077,102766814
SL,No ,No ,Sandy loam,51439078,102766815
L,No ,Yes,Loam,51439078,102766816
CL,No ,Yes,Clay loam,51439079,102766817
SICL,No ,No ,Silty clay loam,51439079,102766818
CL,No ,Yes,Clay loam,51439080,102766819
SICL,No ,No ,Silty clay loam,51439080,102766820
L,No ,Yes,Loam,51439081,102766821
CL,No ,No ,Clay loam,51439081,102766822
CL,No ,Yes,Clay loam,51439082,102766823
L,No ,No ,Loam,51439082,102766824
SIL,No ,No ,Silt loam,51439082,102766825
SICL,No ,No ,Silty clay loam,51439082,102766826
CL,No ,Yes,Clay loam,51439083,102766827
L,No ,No ,Loam,51439083,102766828
SIL,No ,No ,Silt loam,51439083,102766829
SICL,No ,No ,Silty clay loam,51439083,102766830
SL,No ,No ,Sandy loam,51439084,102766831
L,No ,Yes,Loam,51439084,102766832
CL,No ,Yes,Clay loam,51439085,102766833
SICL,No ,No ,Silty clay loam,51439085,102766834
SICL,No ,No ,Silty clay loam,51439086,102766835
SL,No ,No ,Sandy loam,51439086,102766836
CL,No ,Yes,Clay loam,51439086,102766837
L,No ,No ,Loam,51439086,102766838
SIL,No ,No ,Silt loam,51439086,102766839
SL,No ,No ,Sandy loam,51439087,102766840
L,No ,Yes,Loam,51439087,102766841
CL,No ,Yes,Clay loam,51439088,102766842
SICL,No ,No ,Silty clay loam,51439088,102766843
CL,No ,Yes,Clay loam,51439089,102766844
SICL,No ,No ,Silty clay loam,51439089,102766845
L,No ,Yes,Loam,51439090,102766846
CL,No ,No ,Clay loam,51439090,102766847
CL,No ,No ,Clay loam,51439091,102766848
L,No ,Yes,Loam,51439091,102766849
L,No ,Yes,Loam,51439092,102766850
CL,No ,No ,Clay loam,51439092,102766851
SL,No ,No ,Sandy loam,51439093,102766852
L,No ,Yes,Loam,51439093,102766853
L,No ,Yes,Loam,51439094,102766854
CL,No ,No ,Clay loam,51439094,102766855
SIC,No ,No ,Silty clay,51439095,102766856
SICL,No ,Yes,Silty clay loam,51439095,102766857
SICL,No ,Yes,Silty clay loam,51439096,102766858
CL,No ,No ,Clay loam,51439096,102766859
SIL,No ,No ,Silt loam,51439096,102766860
L,No ,No ,Loam,51439096,102766861
SICL,No ,Yes,Silty clay loam,51439097,102766862
CL,No ,No ,Clay loam,51439097,102766863
SIC,No ,No ,Silty clay,51439097,102766864
SICL,No ,Yes,Silty clay loam,51439098,102766865
SIC,No ,No ,Silty clay,51439098,102766866
