musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
L138B,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Consociation,NA,48216,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,88,NA,NA,NA,NA,32529,2765522
L55,"Nicollet loam, 1 to 3 percent slopes",Consociation,NA,33568,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,91,NA,NA,NA,NA,32529,2834849
L107,"Webster clay loam, Bemis moraine, 0 to 2 percent slopes",Consociation,NA,20463,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,88,NA,NA,NA,NA,32529,2835012
