structgrpname,rvindicator,chkey,chstructgrpkey
massive,Yes,51439028,27488963
weak fine subangular blocky structure,Yes,51439029,27488964
cloddy,No ,51439029,27488965
weak medium subangular blocky structure,No ,51439029,27488966
weak fine subangular blocky structure,No ,51439030,27488661
moderate medium subangular blocky structure,Yes,51439030,27488662
weak fine subangular blocky structure,Yes,51439031,27488162
weak fine granular structure,No ,51439031,27488163
weak medium subangular blocky structure,No ,51439031,27488164
weak fine subangular blocky structure,Yes,51439032,27488161
massive,Yes,51439033,27488160
weak fine subangular blocky structure,Yes,51439034,27488165
weak medium subangular blocky structure,No ,51439034,27488166
moderate fine subangular blocky structure,No ,51439034,27488167
weak fine subangular blocky structure,Yes,51439035,27488278
weak medium subangular blocky structure,No ,51439035,27488279
weak fine subangular blocky structure,Yes,51439036,27488933
massive,Yes,51439037,27489000
weak very fine granular structure,No ,51439038,27488997
weak fine subangular blocky structure,Yes,51439038,27488998
weak fine granular structure,No ,51439038,27488999
weak fine subangular blocky structure,Yes,51439070,27488013
weak medium subangular blocky structure,No ,51439070,27488014
weak fine granular structure,No ,51439070,27488015
weak fine subangular blocky structure,Yes,51439071,27488503
massive,Yes,51439072,27488267
weak fine subangular blocky structure,Yes,51439073,27488504
weak medium subangular blocky structure,No ,51439073,27488505
moderate fine subangular blocky structure,No ,51439073,27488506
weak fine subangular blocky structure,Yes,51439074,27488012
weak fine subangular blocky structure,Yes,51439075,27488406
weak medium subangular blocky structure,No ,51439075,27488407
massive,Yes,51439076,27488402
weak fine granular structure,No ,51439077,27488403
weak fine subangular blocky structure,Yes,51439077,27488404
weak very fine granular structure,No ,51439077,27488405
massive,Yes,51439078,27488944
weak fine subangular blocky structure,Yes,51439079,27488951
weak fine subangular blocky structure,Yes,51439080,27488945
moderate fine subangular blocky structure,No ,51439080,27488946
weak medium subangular blocky structure,No ,51439080,27488947
weak fine subangular blocky structure,Yes,51439081,27488948
moderate fine subangular blocky structure,No ,51439081,27488949
weak medium subangular blocky structure,No ,51439081,27488950
moderate medium subangular blocky structure,Yes,51439082,27488133
weak fine subangular blocky structure,Yes,51439083,27488132
massive,Yes,51439084,27488328
weak medium subangular blocky structure,Yes,51439085,27488130
weak medium granular structure,No ,51439085,27488131
moderate medium subangular blocky structure,Yes,51439086,27488134
massive,Yes,51439087,27488408
weak fine subangular blocky structure,Yes,51439088,27487961
weak fine subangular blocky structure,Yes,51439089,27487958
moderate fine subangular blocky structure,No ,51439089,27487959
weak medium subangular blocky structure,No ,51439089,27487960
weak fine subangular blocky structure,Yes,51439090,27488457
moderate fine subangular blocky structure,No ,51439090,27488458
weak medium subangular blocky structure,No ,51439090,27488459
weak fine subangular blocky structure,Yes,51439091,27488346
weak fine granular structure,No ,51439091,27488347
weak medium subangular blocky structure,No ,51439091,27488348
weak fine subangular blocky structure,Yes,51439092,27489152
massive,Yes,51439093,27488345
weak fine subangular blocky structure,Yes,51439094,27489153
weak medium subangular blocky structure,No ,51439094,27489154
moderate fine subangular blocky structure,No ,51439094,27489155
weak fine subangular blocky structure,Yes,51439095,27488649
cloddy,No ,51439095,27488650
massive,Yes,51439096,27489249
weak fine subangular blocky structure,Yes,51439097,27488651
weak fine prismatic structure,No ,51439097,27488652
weak very fine subangular blocky structure,Yes,51439098,27489208
weak fine subangular blocky structure,No ,51439098,27489209
