erokind,rvindicator,cokey,coeroacckey
Sheet erosion,Yes,17607989,1219208
Sheet erosion,Yes,17607990,1219207
Sheet erosion,Yes,17607991,1219206
Sheet erosion,Yes,17608000,1219255
Sheet erosion,Yes,17608001,1219258
Sheet erosion,Yes,17608005,1219260
