areaovacres,lareaovkey,mukey,muareaovkey
48216,402312,2765522,23876744
48216,402313,2765522,23876745
48216,402314,2765522,23876746
48216,402315,2765522,23876747
48216,402316,2765522,23876748
33568,402312,2834849,23876769
33568,402313,2834849,23876770
33568,402314,2834849,23876771
33568,402315,2834849,23876772
33568,402316,2834849,23876773
20463,402312,2835012,23876774
20463,402313,2835012,23876775
20463,402314,2835012,23876776
20463,402315,2835012,23876777
20463,402316,2835012,23876778
