geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,ground moraines,,1,2,Yes,17607989,26694592
Landscape,till plains,,2,NA,Yes,17607989,26694593
Landform,ground moraines,,1,2,Yes,17607990,26694594
Landscape,till plains,,2,NA,Yes,17607990,26694595
Landform,ground moraines,,1,2,Yes,17607991,26694596
Landscape,till plains,,2,NA,Yes,17607991,26694597
Landform,ground moraines,,1,2,Yes,17608000,26694644
Landscape,till plains,,2,NA,Yes,17608000,26694645
Landform,ground moraines,,1,2,Yes,17608001,26694646
Landscape,till plains,,2,NA,Yes,17608001,26694647
Landform,ground moraines,,1,2,Yes,17608002,26694648
Landscape,till plains,,2,NA,Yes,17608002,26694649
Landform,ground moraines,,3,4,Yes,17608003,26694650
Landscape,till plains,,4,NA,Yes,17608003,26694651
Landform,depressions,,2,4,No ,17608003,26694652
Landform,rims,,1,2,No ,17608003,26694653
Landform,ground moraines,,1,2,Yes,17608004,26694654
Landscape,till plains,,2,NA,Yes,17608004,26694655
Landform,ground moraines,,1,2,Yes,17608005,26694656
Landscape,till plains,,2,NA,Yes,17608005,26694657
Landform,depressions,,1,2,Yes,17608006,26694658
Landscape,till plains,,2,NA,Yes,17608006,26694659
