taxminalogy,cokey,cotaxfmminkey
mixed,17607989,13853829
mixed,17607990,13853828
mixed,17607991,13853827
mixed,17608000,13853839
mixed,17608001,13853843
mixed,17608002,13853845
mixed,17608003,13853803
mixed,17608004,13853847
mixed,17608005,13853849
smectitic,17608006,13853851
