pmgroupname,rvindicator,cokey,copmgrpkey
loamy till,Yes,17607989,12732275
loamy till,Yes,17607990,12732274
loamy till,Yes,17607991,12732273
loamy till,Yes,17608000,12732312
loamy till,Yes,17608001,12732316
loamy till,Yes,17608002,12732320
loamy till,Yes,17608003,12732326
loamy till,Yes,17608004,12732322
loamy till,Yes,17608005,12732324
fine-loamy till,No ,17608006,12732296
local alluvium over till,Yes,17608006,12732297
glaciolacustrine deposits,No ,17608006,12732298
