sfragcov.l,sfragcov.r,sfragcov.h,distrocks.l,distrocks.r,distrocks.h,sfragkind,sfragsize.l,sfragsize.r,sfragsize.h,sfragshp,sfraground,sfraghard,cokey,cosurffragskey
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17607991,3564035
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17608000,3564054
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17608001,3564058
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17608002,3564060
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17608004,3564062
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17608005,3564064
0,0,0.01,NA,NA,NA,Mixed rock fragments,2,39,75,Nonflat,Subrounded,Indurated,17608006,3564043
