plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
CEOC,Celtis occidentalis,common hackberry,17607989,30360306
PIBA2,Pinus banksiana,jack pine,17607989,30360307
QUAL,Quercus alba,white oak,17607989,30360308
QUMU,Quercus muehlenbergii,chinkapin oak,17607989,30360309
CARYA,Carya,hickory,17607989,30360310
QURU,Quercus rubra,northern red oak,17607989,30360311
THUJA,Thuja,red cedar,17607989,30360312
QUMA2,Quercus macrocarpa,bur oak,17607989,30360313
FRPE,Fraxinus pennsylvanica,green ash,17607989,30360314
POPUL,Populus,cottonwood,17607989,30360315
FRPE,Fraxinus pennsylvanica,green ash,17608002,30360359
POPUL,Populus,cottonwood,17608002,30360360
QUBI,Quercus bicolor,swamp white oak,17608002,30360361
QUMA2,Quercus macrocarpa,bur oak,17608002,30360362
QUPA2,Quercus palustris,pin oak,17608002,30360363
ACSA2,Acer saccharinum,silver maple,17608002,30360364
CARYA,Carya,hickory,17608002,30360365
PLOC,Platanus occidentalis,American sycamore,17608002,30360366
BENI,Betula nigra,river birch,17608002,30360367
CEOC,Celtis occidentalis,common hackberry,17608002,30360368
SALIX,Salix,willow,17608002,30360369
CEOC,Celtis occidentalis,common hackberry,17608006,30360370
BENI,Betula nigra,river birch,17608006,30360371
SALIX,Salix,willow,17608006,30360372
PLOC,Platanus occidentalis,American sycamore,17608006,30360373
CARYA,Carya,hickory,17608006,30360374
ACSA2,Acer saccharinum,silver maple,17608006,30360375
QUMA2,Quercus macrocarpa,bur oak,17608006,30360376
QUPA2,Quercus palustris,pin oak,17608006,30360377
QUBI,Quercus bicolor,swamp white oak,17608006,30360378
POPUL,Populus,cottonwood,17608006,30360379
FRPE,Fraxinus pennsylvanica,green ash,17608006,30360380
