pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
NA,Loamy,,Till,NA,12732273,17852331
NA,Loamy,,Till,NA,12732274,17852332
NA,Loamy,,Till,NA,12732275,17852230
NA,Fine-loamy,,Till,NA,12732296,17852466
1,,local,Alluvium,NA,12732297,17852463
2,,,Till,NA,12732297,17852464
NA,,,Glaciolacustrine deposits,NA,12732298,17852465
NA,Loamy,,Till,NA,12732312,17852295
NA,Loamy,,Till,NA,12732316,17852293
NA,Loamy,,Till,NA,12732320,17852296
NA,Loamy,,Till,NA,12732322,17852302
NA,Loamy,,Till,NA,12732324,17852298
NA,Loamy,,Till,NA,12732326,17852300
