taxmoistcl,cokey,cotaxmckey
Udic,17607989,6638602
Udic,17607990,6638601
Udic,17607991,6638600
Udic,17608000,6638613
Udic,17608001,6638617
Aquic,17608002,6638619
Aquic,17608003,6638625
Aquic,17608004,6638621
Udic,17608005,6638623
Aquic,17608006,6638730
