set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
100,ames_CS_270.out,2000-12-31,2000,45.29,0,45.29,0,0,1397.718,146.000,186,254,4.024,489.861,215.778,1,1.949,1,1261.189,7603.5,65.4,0.35,0.34,0,reduced
100,ames_CS_270.out,2001-12-31,2001,211.384,211.384,0,7.5,7.5,1550.245,134.000,199,248,4.852,717.431,308.433,1.99,1.95,1.742,1616.46,621.1,6.3,0.347,0.339,0,reduced
100,ames_CS_270.out,2002-12-31,2002,42.062,0,42.062,0,0,1050.468,134.000,183,251,3.24,304.475,207.311,1,1.832,1,861.47,17406,194.8,0.34,0.365,0,reduced
100,ames_CS_270.out,2003-12-31,2003,226.171,226.171,0,7.8,7.8,1285.177,126.000,198,253,3.914,688.798,369.378,1.982,1.9,1.743,1348.459,3588.3,38.2,0.35,0.34,0,reduced
100,ames_CS_270.out,2004-12-31,2004,39.709,0,39.709,0,0,1172.457,126.000,197,0,3.16,313.341,149.283,1,1.942,1,824.086,11665.4,96.6,0.346,0.357,0,reduced
100,ames_CS_270.out,2005-12-31,2005,254.482,254.482,0,8,8,1540.131,131.000,199,253,5.198,792.608,389.118,1.989,1.948,1.766,1569.914,1545.1,19.8,0.348,0.33,0,reduced
100,ames_CS_270.out,2006-12-31,2006,61.676,0,61.676,0,0,1529.968,131.000,193,275,6.483,478.664,288.221,1,1.914,1,1347.036,10035.4,87.3,0.354,0.356,0,reduced
100,ames_CS_270.out,2007-12-31,2007,221.534,221.534,0,8,8,1572.399,139.000,203,256,5.251,764.263,336.333,1.987,1.957,1.803,1582.271,941,12.7,0.35,0.359,0,reduced
100,ames_CS_270.out,2008-12-31,2008,40.228,0,40.228,0,0,945.775,139.000,195,0,2.849,378.995,157.43,1,1.822,1,740.227,9148.6,80.6,0.354,0.38,0,reduced
100,ames_CS_270.out,2009-12-31,2009,238.999,238.999,0,8,8,1512.673,133.000,203,266,4.676,714.79,281.186,1.994,1.95,1.865,1540.799,784.6,9.2,0.358,0.336,0,reduced
100,ames_CS_270.out,2010-12-31,2010,33.155,0,33.155,0,0,814.265,133.000,182,244,3.289,453.763,170.32,1,1.861,1,611.921,8162.7,70.1,0.348,0.364,0,reduced
100,ames_SC_270.out,1996-12-31,1996,251.47,251.47,0,7.9,7.9,1518.263,129,198,255,4.951,740.341,324.298,1.994,1.909,1.717,1357.341,1556.2,13.8,0.352,0.311,0,reduced
100,ames_SC_270.out,1997-12-31,1997,51.645,0,51.645,0,0,1355.918,129,186,258,3.927,336.24,221.435,1,1.925,1,1074.024,11450,78.8,0.349,0.353,0.248,reduced
100,ames_SC_270.out,1998-12-31,1998,154.19,154.19,0,7.9,7.9,941.523,126,193,244,2.82,488.758,197.971,1.994,1.825,1.551,1087.793,6405,58.9,0.342,0.36,0.248,reduced
100,ames_SC_270.out,1999-12-31,1999,47.777,0,47.777,0,0,1207.286,126,190,266,3.719,614.412,203.945,1,1.867,1,938.214,4001.2,27.4,0.34,0.378,0.248,reduced
100,ames_SC_270.out,2000-12-31,2000,159.183,159.183,0,7.4,7.4,1532.565,132,200,255,4.163,714.818,290.244,1.992,1.969,1.889,1716.503,1396.6,16.8,0.352,0.273,0.248,reduced
100,ames_SC_270.out,2001-12-31,2001,60.458,0,60.458,0,0,1517.952,132,190,263,5.39,532.42,276.821,1,2,1,1235.879,7373.1,70.2,0.342,0.365,0.248,reduced
100,ames_SC_270.out,2002-12-31,2002,236.051,236.051,0,7.9,7.9,1520.549,130,195,248,4.903,761.359,343.493,1.991,1.953,1.786,1584.549,1226.5,14.4,0.34,0.344,0.248,reduced
100,ames_SC_270.out,2003-12-31,2003,66.884,0,66.884,0,0,1448.699,130,190,267,6.313,529.422,309.262,0.999,1.879,1,1093.097,7970.6,67.7,0.347,0.348,0.248,reduced
100,ames_SC_270.out,2004-12-31,2004,259.276,259.276,0,8,8,1527.104,127,201,266,4.247,672.567,291.823,1.994,1.921,1.86,1372.499,1730.4,20.4,0.347,0.349,0.248,reduced
100,ames_SC_270.out,2005-12-31,2005,56.602,0,56.602,0,0,1260.114,127,191,262,4.946,509.686,264.682,1,2,1,987.645,7936.2,68.4,0.347,0.345,0.248,reduced
100,ames_SC_270.out,2006-12-31,2006,233.708,233.708,0,8,8,1600.658,138,201,256,4.872,742.291,341.549,1.96,1.98,1.78,1775.177,955.3,11.1,0.356,0.339,0.248,reduced
100,ames_SC_270.out,2007-12-31,2007,59.229,0,59.229,0,0,1518.893,138,193,264,6.368,492.975,280.738,1,1.818,1,1128.05,8892.1,79,0.349,0.376,0.248,reduced
100,ames_SC_270.out,2008-12-31,2008,229.255,229.255,0,7.4,7.4,1336.135,142,211,279,4.201,748.013,315.537,1.994,1.855,1.805,1180.203,1136,12.7,0.355,0.358,0.248,reduced
100,ames_SC_270.out,2009-12-31,2009,56.857,0,56.857,0,0,1503.827,142,190,0,5.223,350.958,214.479,1,1.875,1,1008.113,10685.5,91.4,0.358,0.376,0.248,reduced
100,ames_SC_270.out,2010-12-31,2010,165.727,165.727,0,8,8,966.417,127,195,243,2.773,624.747,229.255,1.994,1.781,1.741,836.486,2188.5,26.4,0.35,0.344,0.248,reduced
100,ames_SC_270.out,2011-12-31,2011,45.089,0,45.089,0,0,1433.437,127,193,270,3.664,486.51,171.431,1,1.831,1,1140.942,5803.6,46.8,0.346,0.351,0.248,reduced
100,ames_SC_270.out,2012-12-31,2012,200.732,200.732,0,7.9,7.9,1564.675,137,195,244,4.718,900.19,425.59,1.733,1.995,1.773,1833.855,210.4,2.7,0.345,0.345,0.248,reduced
100,ames_SC_270.out,2013-12-31,2013,35.172,0,35.172,0,0,1506.754,137,200,270,4.398,391.508,189.806,1,2,1,1350.711,8521.4,83.6,0.337,0.38,0.248,reduced
100,ames_SC_270.out,2014-12-31,2014,178.531,178.531,0,7.9,7.9,1180.407,134,203,262,2.984,645.82,225.551,1.994,1.833,1.8,999.644,1189.2,14.3,0.353,0.349,0.248,reduced
100,ames_SC_270.out,2015-12-31,2015,46.321,0,46.321,0,0,922.97,134,196,268,3.943,522.531,196.918,1,1.766,1,677.622,5732.5,47.4,0.374,0.357,0.248,reduced
100,ames_SC_270.out,2016-12-31,2016,213.409,213.409,0,8.6,8.6,1579.259,127,192,243,5.292,730.266,308.404,1.991,1.927,1.742,1484.63,740.4,9.1,0.352,0.314,0.248,reduced
