param_id,param_apsim,value,group_id,set_id,set_desc,set_desc2,do_manually
10,moistDaysBefore,14,rue,101,rue,"res pen only, 4%",N
11,moistDaysAfter,1,rue,101,rue,"res pen only, 4%",N
12,moistMaxLayers,2,rue,101,rue,"res pen only, 4%",N
13,coldStage,4,rue,101,rue,"res pen only, 4%",N
14,coldTT,4,rue,101,rue,"res pen only, 4%",N
15,xSurfaceOMString,"0,2500,10000",rue,101,rue,"res pen only, 4%",N
16,ySurfaceOMString,"1,1,0.96",rue,101,rue,"res pen only, 4%",N
17,xMoistureString,"0,1,2",rue,101,rue,"res pen only, 4%",N
18,yMoistureString,"1, 1, 1",rue,101,rue,"res pen only, 4%",N
19,xTTString,"0,15,100",rue,101,rue,"res pen only, 4%",N
20,yTTString,"1, 1, 1",rue,101,rue,"res pen only, 4%",N
21,moistDaysBefore,14,xf,101,rue,"res pen only, 4%",N
22,moistDaysAfter,1,xf,101,rue,"res pen only, 4%",N
23,moistMaxLayers,2,xf,101,rue,"res pen only, 4%",N
24,coldStage,4,xf,101,rue,"res pen only, 4%",N
25,coldTT,4,xf,101,rue,"res pen only, 4%",N
26,xSurfaceOMString,"0,2500,10000",xf,101,rue,"res pen only, 4%",N
27,ySurfaceOMString,"1, 1, 1",xf,101,rue,"res pen only, 4%",N
28,xMoistureString,"0,1,2",xf,101,rue,"res pen only, 4%",N
29,yMoistureString,"1, 1, 1",xf,101,rue,"res pen only, 4%",N
30,xTTString,"0,15,100",xf,101,rue,"res pen only, 4%",N
31,yTTString,"1, 1, 1",xf,101,rue,"res pen only, 4%",N
1,startStage,1,kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
2,endStage,3.5,kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
3,maxLayer,3,kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
4,moistLim,2,kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
5,tempLim,2,kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
7,yMoistString,"0, 0, 0, 0, 0",kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
8,xTempString,"-3.5, 0",kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
9,yTempString,"0, 0",kill,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
10,moistDaysBefore,14,rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
11,moistDaysAfter,1,rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
12,moistMaxLayers,2,rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
13,coldStage,4,rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
14,coldTT,4,rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
15,xSurfaceOMString,"0,2500,10000",rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
16,ySurfaceOMString,"1, 1, 1",rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
17,xMoistureString,"0,1,2",rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
18,yMoistureString,"0.97, 1, 0.94",rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
19,xTTString,"0,15,100",rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
20,yTTString,"1, 1, 1",rue,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
21,moistDaysBefore,14,xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
22,moistDaysAfter,1,xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
23,moistMaxLayers,2,xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
24,coldStage,4,xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
25,coldTT,4,xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
26,xSurfaceOMString,"0,2500,10000",xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
27,ySurfaceOMString,"1, 1, 1",xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
28,xMoistureString,"0,1,2",xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
29,yMoistureString,"1, 1, 1",xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
30,xTTString,"0,15,100",xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
31,yTTString,"1, 1, 1",xf,102,rue,"mois pen only, 3(dry)% 6(wet)%",N
1,startStage,1,kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
2,endStage,3.5,kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
3,maxLayer,3,kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
4,moistLim,2,kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
5,tempLim,2,kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
7,yMoistString,"0, 0, 0, 0, 0",kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
8,xTempString,"-3.5, 0",kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
9,yTempString,"0, 0",kill,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
10,moistDaysBefore,14,rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
11,moistDaysAfter,1,rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
12,moistMaxLayers,2,rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
13,coldStage,4,rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
14,coldTT,4,rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
15,xSurfaceOMString,"0,2500,10000",rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
16,ySurfaceOMString,"1, 1, 1",rue,103,rue,"cold pen only, 4(mod)% 8(sev)%",N
