param_id,param_apsim,value,group_id,set_id,set_desc,set_desc2,do_manually
19,xTTString,"0,15,100",rue,4,kill,"no dry kill, 3% wet 1% cold",N
20,yTTString,"1, 1, 1",rue,4,kill,"no dry kill, 3% wet 1% cold",N
21,moistDaysBefore,14,xf,4,kill,"no dry kill, 3% wet 1% cold",N
22,moistDaysAfter,1,xf,4,kill,"no dry kill, 3% wet 1% cold",N
23,moistMaxLayers,2,xf,4,kill,"no dry kill, 3% wet 1% cold",N
24,coldStage,4,xf,4,kill,"no dry kill, 3% wet 1% cold",N
25,coldTT,4,xf,4,kill,"no dry kill, 3% wet 1% cold",N
26,xSurfaceOMString,"0,2500,10000",xf,4,kill,"no dry kill, 3% wet 1% cold",N
27,ySurfaceOMString,"1, 1, 1",xf,4,kill,"no dry kill, 3% wet 1% cold",N
28,xMoistureString,"0,1,2",xf,4,kill,"no dry kill, 3% wet 1% cold",N
29,yMoistureString,"1, 1, 1",xf,4,kill,"no dry kill, 3% wet 1% cold",N
30,xTTString,"0,15,100",xf,4,kill,"no dry kill, 3% wet 1% cold",N
31,yTTString,"1, 1, 1",xf,4,kill,"no dry kill, 3% wet 1% cold",N
1,startStage,1,kill,5,kill,"no dry kill, 10% wet 1% cold",N
2,endStage,3.5,kill,5,kill,"no dry kill, 10% wet 1% cold",N
3,maxLayer,3,kill,5,kill,"no dry kill, 10% wet 1% cold",N
4,moistLim,2,kill,5,kill,"no dry kill, 10% wet 1% cold",N
5,tempLim,2,kill,5,kill,"no dry kill, 10% wet 1% cold",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,5,kill,"no dry kill, 10% wet 1% cold",N
7,yMoistString,"0, 0, 0, 0, 0.1",kill,5,kill,"no dry kill, 10% wet 1% cold",N
8,xTempString,"-3.5, 0",kill,5,kill,"no dry kill, 10% wet 1% cold",N
9,yTempString,"0.1, 0",kill,5,kill,"no dry kill, 10% wet 1% cold",N
10,moistDaysBefore,14,rue,5,kill,"no dry kill, 10% wet 1% cold",N
11,moistDaysAfter,1,rue,5,kill,"no dry kill, 10% wet 1% cold",N
12,moistMaxLayers,2,rue,5,kill,"no dry kill, 10% wet 1% cold",N
13,coldStage,4,rue,5,kill,"no dry kill, 10% wet 1% cold",N
14,coldTT,4,rue,5,kill,"no dry kill, 10% wet 1% cold",N
15,xSurfaceOMString,"0,2500,10000",rue,5,kill,"no dry kill, 10% wet 1% cold",N
16,ySurfaceOMString,"1, 1, 1",rue,5,kill,"no dry kill, 10% wet 1% cold",N
17,xMoistureString,"0,1,2",rue,5,kill,"no dry kill, 10% wet 1% cold",N
18,yMoistureString,"1, 1, 1",rue,5,kill,"no dry kill, 10% wet 1% cold",N
19,xTTString,"0,15,100",rue,5,kill,"no dry kill, 10% wet 1% cold",N
20,yTTString,"1, 1, 1",rue,5,kill,"no dry kill, 10% wet 1% cold",N
21,moistDaysBefore,14,xf,5,kill,"no dry kill, 10% wet 1% cold",N
22,moistDaysAfter,1,xf,5,kill,"no dry kill, 10% wet 1% cold",N
23,moistMaxLayers,2,xf,5,kill,"no dry kill, 10% wet 1% cold",N
24,coldStage,4,xf,5,kill,"no dry kill, 10% wet 1% cold",N
25,coldTT,4,xf,5,kill,"no dry kill, 10% wet 1% cold",N
26,xSurfaceOMString,"0,2500,10000",xf,5,kill,"no dry kill, 10% wet 1% cold",N
27,ySurfaceOMString,"1, 1, 1",xf,5,kill,"no dry kill, 10% wet 1% cold",N
28,xMoistureString,"0,1,2",xf,5,kill,"no dry kill, 10% wet 1% cold",N
29,yMoistureString,"1, 1, 1",xf,5,kill,"no dry kill, 10% wet 1% cold",N
30,xTTString,"0,15,100",xf,5,kill,"no dry kill, 10% wet 1% cold",N
31,yTTString,"1, 1, 1",xf,5,kill,"no dry kill, 10% wet 1% cold",N
1,startStage,1,kill,6,kill,only mois kill (dry+wet),N
2,endStage,3.5,kill,6,kill,only mois kill (dry+wet),N
3,maxLayer,3,kill,6,kill,only mois kill (dry+wet),N
4,moistLim,2,kill,6,kill,only mois kill (dry+wet),N
5,tempLim,2,kill,6,kill,only mois kill (dry+wet),N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,6,kill,only mois kill (dry+wet),N
7,yMoistString,"0.01, 0, 0, 0, 0.03",kill,6,kill,only mois kill (dry+wet),N
8,xTempString,"-3.5, 0",kill,6,kill,only mois kill (dry+wet),N
9,yTempString,"0, 0",kill,6,kill,only mois kill (dry+wet),N
10,moistDaysBefore,14,rue,6,kill,only mois kill (dry+wet),N
11,moistDaysAfter,1,rue,6,kill,only mois kill (dry+wet),N
12,moistMaxLayers,2,rue,6,kill,only mois kill (dry+wet),N
13,coldStage,4,rue,6,kill,only mois kill (dry+wet),N
14,coldTT,4,rue,6,kill,only mois kill (dry+wet),N
15,xSurfaceOMString,"0,2500,10000",rue,6,kill,only mois kill (dry+wet),N
16,ySurfaceOMString,"1, 1, 1",rue,6,kill,only mois kill (dry+wet),N
17,xMoistureString,"0,1,2",rue,6,kill,only mois kill (dry+wet),N
18,yMoistureString,"1, 1, 1",rue,6,kill,only mois kill (dry+wet),N
19,xTTString,"0,15,100",rue,6,kill,only mois kill (dry+wet),N
20,yTTString,"1, 1, 1",rue,6,kill,only mois kill (dry+wet),N
21,moistDaysBefore,14,xf,6,kill,only mois kill (dry+wet),N
22,moistDaysAfter,1,xf,6,kill,only mois kill (dry+wet),N
23,moistMaxLayers,2,xf,6,kill,only mois kill (dry+wet),N
24,coldStage,4,xf,6,kill,only mois kill (dry+wet),N
25,coldTT,4,xf,6,kill,only mois kill (dry+wet),N
26,xSurfaceOMString,"0,2500,10000",xf,6,kill,only mois kill (dry+wet),N
27,ySurfaceOMString,"1, 1, 1",xf,6,kill,only mois kill (dry+wet),N
28,xMoistureString,"0,1,2",xf,6,kill,only mois kill (dry+wet),N
29,yMoistureString,"1, 1, 1",xf,6,kill,only mois kill (dry+wet),N
30,xTTString,"0,15,100",xf,6,kill,only mois kill (dry+wet),N
31,yTTString,"1, 1, 1",xf,6,kill,only mois kill (dry+wet),N
1,startStage,1,kill,7,kill,"only wet kill, 3%",N
2,endStage,3.5,kill,7,kill,"only wet kill, 3%",N
3,maxLayer,3,kill,7,kill,"only wet kill, 3%",N
4,moistLim,2,kill,7,kill,"only wet kill, 3%",N
5,tempLim,2,kill,7,kill,"only wet kill, 3%",N
6,xMoistString,"0, 0.5, 1, 1.5, 2",kill,7,kill,"only wet kill, 3%",N
7,yMoistString,"0, 0, 0, 0, 0.03",kill,7,kill,"only wet kill, 3%",N
8,xTempString,"-3.5, 0",kill,7,kill,"only wet kill, 3%",N
9,yTempString,"0, 0",kill,7,kill,"only wet kill, 3%",N
10,moistDaysBefore,14,rue,7,kill,"only wet kill, 3%",N
11,moistDaysAfter,1,rue,7,kill,"only wet kill, 3%",N
12,moistMaxLayers,2,rue,7,kill,"only wet kill, 3%",N
