site,year,gap_kgha,gap_hi,gap_lo,sig_ind
ames,2000,567.512501787357,1478.287417034653,-343.2624134599389,ns
ames,2001,2163.9729040116126,2899.9728926408206,1427.9729153824046,sig
ames,2002,1368.3946304779274,2068.049795619893,668.7394653359619,sig
ames,2003,2190.492179796064,3055.8625454957505,1325.1218140963779,sig
ames,2004,739.8877943863226,1764.6177527125049,-284.8421639398596,ns
ames,2005,2070.6250532503236,2849.7429137821964,1291.5071927184508,sig
ames,2006,1823.995788454884,2834.5996208378856,813.3919560718823,sig
ames,2007,310.27552667813507,1336.5658018737795,-716.0147485175094,ns
ames,2008,1096.3068609294114,1949.9470303293303,242.66669152949248,sig
ames,2009,758.9816729511294,1482.8371662642962,35.126179637962764,sig
ames,2010,790.8048038924753,1492.7394078268198,88.87019995813068,sig
ames,2011,1210.3397468025705,1560.9192483430725,859.7602452620686,sig
ames,2012,320.35285147622926,1743.7472020543596,-1103.041499101901,ns
ames,2013,213.21497730702868,1137.365298225123,-710.9353436110657,ns
ames,2014,574.9378990070036,1339.6809153057693,-189.80511729176226,ns
ames,2015,1243.7540342909888,1971.4907303040482,516.0173382779295,sig
ames,2016,370.73947546669297,1127.0019522689986,-385.5230013356128,ns
craw,2000,265.1927578445593,1034.6179546449293,-504.2324389558107,ns
craw,2001,885.7438112008294,1526.684153314684,244.80346908697504,sig
craw,2002,3675.571623725602,5099.211309212647,2251.9319382385565,sig
craw,2003,3977.8913676683987,4732.670071407894,3223.1126639289037,sig
craw,2004,39.77891367668417,741.5020517889295,-661.9442244355612,ns
craw,2005,2875.2198805507187,4213.829151510973,1536.6106095904645,sig
craw,2006,799.2909721435026,1569.6358164070648,28.946127879940263,sig
craw,2007,1196.0193378789663,2836.359585090091,-444.3209093321584,ns
craw,2008,2851.3525323447084,4434.236882036782,1268.4681826526348,sig
craw,2009,2226.0280093472393,4863.248307018404,-411.1922883239258,ns
craw,2010,873.5449443399802,2914.442728812525,-1167.3528401325643,ns
craw,2011,1905.144772355321,3589.271919186878,221.01762552376363,sig
craw,2012,1630.4050752283556,3095.905792711008,164.904357745703,sig
craw,2013,3093.738713014637,4833.3412517994675,1354.1361742298066,sig
craw,2014,1167.9089055474415,2058.4679499263116,277.34986116857124,sig
craw,2015,1525.9191286375972,4724.180290989527,-1672.342033714333,ns
craw,2016,300.1982018800427,992.5349544282246,-392.13855066813926,ns
kana,2006,1862.1835455844994,2645.7942855014176,1078.5728056675812,sig
kana,2007,4212.321765602991,5425.525623746318,2999.117907459664,sig
kana,2008,3088.9652433734345,4066.6082048115363,2111.3222819353327,sig
