erokind,rvindicator,cokey,coeroacckey
Sheet erosion,No ,17587842,1205589
Rill erosion,Yes,17587842,1205590
Rill erosion,Yes,17587843,1205770
Rill erosion,Yes,17587844,1205591
Sheet erosion,No ,17587844,1205592
Rill erosion,Yes,17587845,1205593
Sheet erosion,No ,17587845,1205594
Rill erosion,Yes,17587846,1205595
Sheet erosion,No ,17587846,1205596
Rill erosion,No ,17587852,1205656
Sheet erosion,Yes,17587852,1205657
Rill erosion,No ,17587853,1205658
Sheet erosion,Yes,17587853,1205659
