musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
399,"Readlyn silt loam, 1 to 3 percent slopes",Consociation,NA,21783,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,91,NA,NA,NA,NA,13671,405919
83B,"Kenyon loam, 2 to 5 percent slopes",Consociation,NA,17607,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,90,NA,NA,NA,NA,13671,406045
