musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
399,"Readlyn silt loam, 1 to 3 percent slopes",NA,2,2,NA,30,30,None,None,0,3.55,7.11,12.25,17.46,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,5,1,405919
83B,"Kenyon loam, 2 to 5 percent slopes",NA,3,3,NA,122,122,None,None,0,4.78,9.38,17.42,25.15,Moderately well drained,Moderately well drained,C,NA,100,2,100,Not limited,Somewhat limited,Not limited,Very limited,Very limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Somewhat limited,Poor,Fair,Somewhat limited,0.08,Moderate,0,0.96,406045
