hillslopeprof,cogeomdkey,cosurfmorhppkey
Summit,26657445,11029378
Shoulder,26657445,11029379
Backslope,26657445,11029380
Footslope,26657447,11029746
Summit,26657449,11029736
Shoulder,26657449,11029737
Backslope,26657449,11029738
Summit,26657451,11029739
Backslope,26657451,11029740
Summit,26657453,11029741
Shoulder,26657453,11029742
Summit,26657764,11029699
Summit,26657766,11029700
