geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,Crest,,,26657445,9784180
NA,Nose Slope,,,26657445,9784181
NA,Side Slope,,,26657445,9784182
NA,Base Slope,,,26657447,9784161
NA,Crest,,,26657449,9784151
NA,Nose Slope,,,26657449,9784152
NA,Side Slope,,,26657449,9784153
NA,Crest,,,26657451,9784154
NA,Side Slope,,,26657451,9784155
NA,Crest,,,26657453,9784156
NA,Nose Slope,,,26657453,9784157
NA,Interfluve,,,26657764,9783684
NA,Side Slope,,,26657764,9783685
NA,Head Slope,,,26657766,9783686
NA,Interfluve,,,26657766,9783687
