desgnsuffix,chkey,chdesgnsfxkey
p,51368210,20275995
w,51368212,20275849
w,51368215,20275996
w,51368216,20276044
w,51368219,20276189
w,51368220,20275755
p,51368222,20275850
w,51368224,20275997
w,51368225,20275851
p,51368227,20275998
w,51368230,20275852
w,51368231,20275712
t,51368232,20275713
g,51368233,20275999
t,51368233,20276000
g,51368234,20275714
t,51368234,20275715
w,51368237,20276001
p,51368239,20275716
w,51368240,20276144
p,51368279,20275919
w,51368282,20276212
g,51368283,20275920
g,51368284,20276211
g,51368285,20275918
g,51368288,20275771
p,51368291,20275770
w,51368292,20276067
w,51368293,20276066
