ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
NRCS Rangeland Site,Ecological Site Description Database,R104XY005IA,Loamy Upland Prairie Amorpha canescens/Andropogon gerardii-Sorghastrum nutans (Leadplant/Big Bluestem-Indiangrass),17587842,5282256
Forage Suitability Groups,,G104XS002MN,"Sloping Upland, Neutral",17587842,5282548
NRCS Rangeland Site,Ecological Site Description Database,R104XY005IA,Loamy Upland Prairie Amorpha canescens/Andropogon gerardii-Sorghastrum nutans (Leadplant/Big Bluestem-Indiangrass),17587843,5282257
NRCS Rangeland Site,Ecological Site Description Database,R104XY005IA,Loamy Upland Prairie Amorpha canescens/Andropogon gerardii-Sorghastrum nutans (Leadplant/Big Bluestem-Indiangrass),17587844,5282258
NRCS Rangeland Site,Ecological Site Description Database,R104XY005IA,Loamy Upland Prairie Amorpha canescens/Andropogon gerardii-Sorghastrum nutans (Leadplant/Big Bluestem-Indiangrass),17587845,5282259
NRCS Rangeland Site,Ecological Site Description Database,R104XY010IA,Sandy Upland Prairie Schizachyrium scoparium-Euphorbia corollata (Little Bluestem-Flowering Spurge),17587846,5282260
NRCS Rangeland Site,Ecological Site Description Database,R104XY005IA,Loamy Upland Prairie Amorpha canescens/Andropogon gerardii-Sorghastrum nutans (Leadplant/Big Bluestem-Indiangrass),17587852,5282266
Forage Suitability Groups,,G104XS006MN,"Sloping Upland, Acid",17587852,5282549
NRCS Rangeland Site,Ecological Site Description Database,R104XY006IA,Wet Loamy Upland Prairie Calamagrostis canadensis-Pycnanthemum virginianum (Bluejoint-Virginia Mountainmint),17587853,5282267
