areaovacres,lareaovkey,mukey,muareaovkey
21783,401946,405919,23844072
21783,401947,405919,23844073
21783,401948,405919,23844074
21783,401949,405919,23844075
21783,401950,405919,23844076
17607,401946,406045,23843792
17607,401947,406045,23843793
17607,401948,406045,23843794
17607,401949,406045,23843795
17607,401950,406045,23843796
