shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Convex,Convex,26657445,15482268
Linear,Concave,26657447,15482083
Convex,Convex,26657449,15482079
Linear,Concave,26657451,15482080
Convex,Convex,26657453,15482081
Linear,Convex,26657764,15481792
Concave,Linear,26657766,15481793
