geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,interfluves,,1,2,Yes,17587842,26657445
Landscape,till plains,dissected,2,NA,Yes,17587842,26657446
Landform,drainageways,adjacent to,1,2,Yes,17587843,26657447
Landscape,till plains,dissected,2,NA,Yes,17587843,26657448
Landform,interfluves,,1,2,Yes,17587844,26657449
Landscape,till plains,dissected,2,NA,Yes,17587844,26657450
Landform,interfluves,,1,2,Yes,17587845,26657451
Landscape,till plains,dissected,2,NA,Yes,17587845,26657452
Landform,interfluves,,1,2,Yes,17587846,26657453
Landscape,till plains,dissected,2,NA,Yes,17587846,26657454
Landform,interfluves,,1,2,Yes,17587852,26657764
Landscape,till plains,dissected,2,NA,Yes,17587852,26657765
Landform,interfluves,,1,2,Yes,17587853,26657766
Landscape,till plains,dissected,2,NA,Yes,17587853,26657767
