fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,1,2,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368209,87957710
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368209,87957711
0,0,2,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368209,87957712
1,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368209,87957713
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368209,87957714
0,1,2,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368210,87957715
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368210,87957716
0,0,2,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368210,87957717
1,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368210,87957718
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368210,87957719
0,1,2,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368211,87957720
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368211,87957721
0,0,2,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368211,87957722
1,1,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368211,87957723
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368211,87957724
0,1,3,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368212,87957725
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368212,87957726
1,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368212,87957727
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368212,87957728
1,2,4,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368212,87957729
1,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368213,87957730
0,1,3,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368213,87957731
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368213,87957732
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368213,87957733
1,2,4,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368213,87957734
1,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368214,87957735
0,1,3,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368214,87957736
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368214,87957737
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368214,87957738
1,2,4,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368214,87957739
0,1,3,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368215,87957740
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368215,87957741
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368215,87957742
1,2,4,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368215,87957743
1,2,4,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368215,87957744
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368216,87957745
0,1,1,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368216,87957746
0,0,1,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368216,87957747
0,1,1,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368216,87957748
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368216,87957749
0,1,1,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368217,87957750
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368217,87957751
0,1,1,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368217,87957752
0,0,1,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368217,87957753
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368217,87957754
0,1,1,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368218,87957755
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368218,87957756
0,0,1,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368218,87957757
0,1,1,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368218,87957758
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368218,87957759
0,1,1,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368219,87957760
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368219,87957761
0,1,1,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368219,87957762
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368219,87957763
0,0,1,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368219,87957764
1,2,3,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368220,87957765
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368220,87957766
0,1,2,Mixed rock fragments,20,47,75,Nonflat,Subrounded,Indurated,51368220,87957767
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368220,87957768
1,2,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368220,87957769
1,3,5,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368221,87957770
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subrounded,Indurated,51368221,87957771
0,1,2,Mixed rock fragments,20,48,75,Nonflat,Subrounded,Indurated,51368221,87957772
1,2,3,Mixed rock fragments,5,12,20,Nonflat,Subrounded,Indurated,51368221,87957773
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subrounded,Indurated,51368221,87957774
0,2,3,Mixed rock fragments,2,4,5,Nonflat,Subrounded,Indurated,51368222,87957775
