structgrpname,rvindicator,chkey,chstructgrpkey
weak fine subangular blocky structure,Yes,51368209,27422721
weak fine granular structure,Yes,51368210,27422421
weak fine subangular blocky structure,Yes,51368211,27422635
weak fine subangular blocky structure,Yes,51368212,27422720
weak medium subangular blocky structure,Yes,51368213,27422722
weak very coarse subangular blocky structure,Yes,51368214,27422634
weak fine subangular blocky structure,Yes,51368215,27422422
weak medium subangular blocky structure,Yes,51368216,27422205
weak fine granular structure,Yes,51368217,27422121
weak fine subangular blocky structure,Yes,51368218,27422571
weak fine subangular blocky structure,Yes,51368219,27422120
weak medium subangular blocky structure,Yes,51368220,27422572
moderate coarse prismatic structure,Yes,51368221,27422204
weak fine and medium subangular blocky structure,Yes,51368222,27422723
moderate fine and medium subangular blocky structure,Yes,51368223,27422636
moderate fine and medium subangular blocky structure,Yes,51368224,27422424
weak coarse prismatic structure parts to moderate medium subangular blocky structure,Yes,51368225,27422724
moderate coarse prismatic structure,Yes,51368226,27422423
moderate fine granular structure,Yes,51368227,27422425
weak fine granular structure,Yes,51368228,27422725
weak fine subangular blocky structure,Yes,51368229,27422637
weak medium subangular blocky structure,Yes,51368230,27422726
weak medium subangular blocky structure,Yes,51368231,27422791
weak medium prismatic structure parts to strong very fine subangular blocky structure,Yes,51368232,27422792
weak medium prismatic structure parts to moderate fine and medium subangular blocky structure,Yes,51368233,27422426
moderate medium subangular blocky structure,Yes,51368234,27422793
massive,Yes,51368235,27422638
weak extremely coarse prismatic structure,Yes,51368236,27422640
weak medium subangular blocky structure,Yes,51368237,27422427
"weak medium subangular blocky structure, and weak fine subangular blocky structure",Yes,51368238,27422238
weak medium granular structure,Yes,51368239,27422794
weak medium prismatic structure,Yes,51368240,27422639
weak fine granular structure,Yes,51368279,27422705
"weak fine subangular blocky structure, and weak fine granular structure",Yes,51368280,27422408
"weak medium subangular blocky structure, and weak fine subangular blocky structure",Yes,51368281,27422410
weak fine subangular blocky structure,Yes,51368282,27422623
weak fine subangular blocky structure,Yes,51368283,27422706
weak fine subangular blocky structure,Yes,51368284,27422622
"moderate extremely coarse prismatic structure, and moderate coarse prismatic structure",Yes,51368285,27422704
"moderate extremely coarse prismatic structure, and moderate coarse prismatic structure",Yes,51368286,27422409
weak very coarse prismatic structure,Yes,51368287,27422781
weak medium subangular blocky structure,Yes,51368288,27422784
weak medium subangular blocky structure parts to weak fine granular structure,Yes,51368289,27422624
moderate fine granular structure,Yes,51368290,27422782
moderate fine granular structure,Yes,51368291,27422783
weak medium subangular blocky structure,Yes,51368292,27422412
weak medium prismatic structure parts to moderate fine subangular blocky structure,Yes,51368293,27422411
