wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,6,NA,MALUS,Malus,Red Splendor Crabapple,17587843,94940059
NA,2,NA,VIOPA2,Viburnum opulus var. americanum,American cranberry viburnum,17587843,94940060
NA,5,NA,COCO6,Corylus cornuta,beaked hazelnut,17587843,94940061
NA,8,NA,FRPE,Fraxinus pennsylvanica,green ash,17587843,94940062
NA,3,NA,VIRA,Viburnum rafinesqueanum,Downy Arrowwood,17587843,94940063
NA,6,NA,UNKNOWN,unknown scientific name,radiant crabapple,17587843,94940064
NA,6,NA,PIGL,Picea glauca,white spruce,17587843,94940065
NA,8,NA,PIAB,Picea abies,Norway spruce,17587843,94940066
NA,1,NA,VIAC,Viburnum acerifolium,mapleleaf viburnum,17587843,94940067
NA,3,NA,SAEX,Salix exigua,sandbar willow,17587843,94940068
NA,4,NA,PHYSO,Physocarpus,ninebark,17587843,94940069
NA,2,NA,COAC2,Cotoneaster acutifolius,Peking cotoneaster,17587843,94940070
NA,8,NA,QUMA2,Quercus macrocarpa,bur oak,17587843,94940071
NA,6,NA,MALUS,Malus,Midwest Crabapple,17587843,94940072
NA,4,NA,CAAR18,Caragana arborescens,Siberian peashrub,17587843,94940073
NA,8,NA,QUBI,Quercus bicolor,swamp white oak,17587843,94940074
NA,2,NA,VILE,Viburnum lentago,nannyberry,17587843,94940075
NA,8,NA,QUPA2,Quercus palustris,pin oak,17587843,94940076
NA,8,NA,FRNI,Fraxinus nigra,black ash,17587843,94940077
NA,4,NA,COSES,Cornus sericea ssp. sericea,redosier dogwood,17587843,94940078
NA,6,NA,THOC2,Thuja occidentalis,arborvitae,17587843,94940079
NA,4,NA,PRAM,Prunus americana,American plum,17587843,94940080
NA,3,NA,SYVU,Syringa vulgaris,common lilac,17587843,94940081
NA,6,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17587843,94940082
NA,5,NA,CECA4,Cercis canadensis,eastern redbud,17587843,94940083
NA,8,NA,GLTR,Gleditsia triacanthos,honeylocust,17587843,94940084
NA,8,NA,BENI,Betula nigra,river birch,17587843,94940085
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,17587843,94940086
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,17587843,94940087
NA,11,NA,SALIX,Salix,willow,17587843,94940088
NA,3,NA,AMELA,Amelanchier,serviceberry,17587843,94940089
NA,3,NA,VIED,Viburnum edule,highbush cranberrry,17587843,94940090
NA,15,NA,PODE3,Populus deltoides,eastern cottonwood,17587843,94940091
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17587843,94940092
NA,6,NA,ABCO,Abies concolor,white fir,17587843,94940093
NA,11,NA,PIST,Pinus strobus,eastern white pine,17587843,94940094
NA,4,NA,SAMBU,Sambucus,elderberry,17587843,94940095
NA,2,NA,COAM3,Corylus americana,American hazelnut,17587843,94940096
NA,3,NA,PRTO80,Prunus tomentosa,Nanking cherry,17587843,94940097
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,17587843,94940098
NA,11,NA,PLOC,Platanus occidentalis,American sycamore,17587843,94940099
NA,8,NA,FRAM2,Fraxinus americana,white ash,17587843,94940100
NA,3,NA,PRVI,Prunus virginiana,chokecherry,17587843,94940101
NA,6,NA,ACGI,Acer ginnala,Amur maple,17587843,94940102
NA,2,NA,COFOR,Cornus foemina ssp. racemosa,gray dogwood,17587843,94940103
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17587843,94940104
NA,6,NA,JUVI,Juniperus virginiana,eastern redcedar,17587843,94940105
NA,11,NA,ACSA2,Acer saccharinum,silver maple,17587843,94940106
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17587843,94940107
NA,3,NA,PRVI,Prunus virginiana,chokecherry,17587844,94940108
NA,3,NA,PRTO80,Prunus tomentosa,Nanking cherry,17587844,94940109
NA,2,NA,CEPHA,Cephalanthus,buttonbush,17587844,94940110
NA,10,NA,QURU,Quercus rubra,northern red oak,17587844,94940111
NA,10,NA,ACSA2,Acer saccharinum,silver maple,17587844,94940112
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17587844,94940113
NA,6,NA,MAMA37,Malus mandshurica,Manchurian crabapple,17587844,94940114
NA,2,NA,COFOR,Cornus foemina ssp. racemosa,gray dogwood,17587844,94940115
NA,8,NA,JUVI,Juniperus virginiana,eastern redcedar,17587844,94940116
NA,10,NA,JUNI,Juglans nigra,black walnut,17587844,94940117
NA,8,NA,FRAM2,Fraxinus americana,white ash,17587844,94940118
NA,10,NA,QUMU,Quercus muehlenbergii,chinkapin oak,17587844,94940119
NA,3,NA,VIED,Viburnum edule,highbush cranberrry,17587844,94940120
NA,4,NA,SAMBU,Sambucus,elderberry,17587844,94940121
NA,6,NA,PIBA2,Pinus banksiana,jack pine,17587844,94940122
NA,12,NA,PIST,Pinus strobus,eastern white pine,17587844,94940123
NA,6,NA,ABCO,Abies concolor,white fir,17587844,94940124
NA,5,NA,CECA4,Cercis canadensis,eastern redbud,17587844,94940125
NA,8,NA,CEOC,Celtis occidentalis,common hackberry,17587844,94940126
NA,11,NA,BENI,Betula nigra,river birch,17587844,94940127
NA,6,NA,MASA9,Malus sargentii,sargent crabapple,17587844,94940128
