aashtocl,rvindicator,chkey,chaashtokey
A-6,Yes,51368220,83994554
A-6,Yes,51368221,83994555
A-4,No ,51368221,83994556
A-7-6,No ,51368222,83994557
A-6,Yes,51368222,83994558
A-7-6,No ,51368223,83994559
A-6,Yes,51368223,83994560
A-6,No ,51368237,83994582
A-2-4,No ,51368237,83994583
A-4,Yes,51368237,83994584
A-6,No ,51368238,83994585
A-4,Yes,51368238,83994586
A-6,No ,51368239,83994587
A-4,Yes,51368239,83994588
A-6,Yes,51368240,83994589
A-6,Yes,51368287,83994677
A-4,No ,51368287,83994678
A-6,No ,51368288,83994679
A-7-6,Yes,51368288,83994680
A-7-6,Yes,51368289,83994681
A-7-5,No ,51368289,83994682
A-7-6,No ,51368290,83994683
A-7-5,Yes,51368290,83994684
A-6,Yes,51368209,83994529
A-7-6,No ,51368209,83994530
A-6,Yes,51368211,83994534
A-4,No ,51368211,83994535
A-7-6,No ,51368211,83994536
A-6,No ,51368216,83994545
A-2-4,Yes,51368216,83994546
A-7-6,No ,51368218,83994550
A-6,Yes,51368218,83994551
A-6,Yes,51368225,83994563
A-4,No ,51368225,83994564
A-7-6,Yes,51368227,83994566
A-6,No ,51368227,83994567
A-7-6,Yes,51368234,83994578
A-6,Yes,51368236,83994581
A-7-6,No ,51368284,83994673
A-6,Yes,51368284,83994674
A-6,Yes,51368286,83994676
A-7-5,Yes,51368291,83994685
A-6,Yes,51368293,83994688
A-7-6,No ,51368293,83994689
A-6,Yes,51368212,83994537
A-7-6,No ,51368212,83994538
A-6,Yes,51368213,83994539
A-4,No ,51368213,83994540
A-6,Yes,51368214,83994541
A-4,No ,51368214,83994542
A-6,Yes,51368215,83994543
A-7-6,No ,51368215,83994544
A-7-6,Yes,51368228,83994568
A-6,No ,51368228,83994569
A-6,No ,51368229,83994570
A-7-6,Yes,51368229,83994571
A-7-6,Yes,51368230,83994572
A-6,No ,51368230,83994573
A-7-6,Yes,51368231,83994574
A-6,No ,51368231,83994575
A-7-6,Yes,51368232,83994576
A-7-6,Yes,51368279,83994662
A-7-5,No ,51368279,83994663
A-6,No ,51368279,83994664
A-6,No ,51368280,83994665
A-7-6,Yes,51368280,83994666
A-6,Yes,51368281,83994667
A-7-6,No ,51368281,83994668
A-6,Yes,51368282,83994669
A-7-6,No ,51368282,83994670
A-6,Yes,51368210,83994531
A-4,No ,51368210,83994532
A-7-6,No ,51368210,83994533
A-7-5,No ,51368217,83994547
A-6,No ,51368217,83994548
A-7-6,Yes,51368217,83994549
A-7-6,No ,51368219,83994552
A-6,Yes,51368219,83994553
A-7-6,No ,51368224,83994561
A-6,Yes,51368224,83994562
A-6,Yes,51368226,83994565
A-7-6,Yes,51368233,83994577
A-7-6,Yes,51368235,83994579
A-6,No ,51368235,83994580
A-7-6,No ,51368283,83994671
A-6,Yes,51368283,83994672
A-6,Yes,51368285,83994675
A-6,Yes,51368292,83994686
A-7-6,No ,51368292,83994687
