texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,No ,Silt loam,51368209,102622206
L,No ,Yes,Loam,51368209,102622207
L,No ,Yes,Loam,51368210,102622208
SIL,No ,No ,Silt loam,51368210,102622209
L,No ,Yes,Loam,51368211,102622210
SIL,No ,No ,Silt loam,51368211,102622211
CL,No ,No ,Clay loam,51368212,102622212
SCL,No ,No ,Sandy clay loam,51368212,102622213
L,No ,Yes,Loam,51368212,102622214
L,No ,Yes,Loam,51368213,102622215
L,No ,Yes,Loam,51368214,102622216
SCL,No ,No ,Sandy clay loam,51368215,102622217
L,No ,Yes,Loam,51368215,102622218
CL,No ,No ,Clay loam,51368215,102622219
SL,No ,Yes,Sandy loam,51368216,102622220
SCL,No ,No ,Sandy clay loam,51368216,102622221
L,No ,No ,Loam,51368216,102622222
SICL,No ,No ,Silty clay loam,51368217,102622223
SIL,No ,No ,Silt loam,51368217,102622224
L,No ,Yes,Loam,51368217,102622225
CL,No ,No ,Clay loam,51368217,102622226
SIL,No ,No ,Silt loam,51368218,102622227
CL,No ,No ,Clay loam,51368218,102622228
L,No ,Yes,Loam,51368218,102622229
SICL,No ,No ,Silty clay loam,51368218,102622230
SCL,No ,Yes,Sandy clay loam,51368219,102622231
L,No ,No ,Loam,51368219,102622232
SCL,No ,No ,Sandy clay loam,51368220,102622233
CL,No ,No ,Clay loam,51368220,102622234
L,No ,Yes,Loam,51368220,102622235
L,No ,Yes,Loam,51368221,102622236
L,No ,Yes,Loam,51368222,102622237
SIL,No ,No ,Silt loam,51368222,102622238
L,No ,Yes,Loam,51368223,102622239
SIL,No ,No ,Silt loam,51368223,102622240
L,No ,Yes,Loam,51368224,102622241
SIL,No ,No ,Silt loam,51368224,102622242
L,No ,Yes,Loam,51368225,102622243
CL,No ,No ,Clay loam,51368225,102622244
CL,No ,No ,Clay loam,51368226,102622245
L,No ,Yes,Loam,51368226,102622246
L,No ,No ,Loam,51368227,102622247
SIL,No ,Yes,Silt loam,51368227,102622248
L,No ,No ,Loam,51368228,102622249
SIL,No ,Yes,Silt loam,51368228,102622250
SICL,No ,Yes,Silty clay loam,51368229,102622251
CL,No ,No ,Clay loam,51368229,102622252
SICL,No ,Yes,Silty clay loam,51368230,102622253
CL,No ,No ,Clay loam,51368230,102622254
CL,No ,Yes,Clay loam,51368231,102622255
SICL,No ,No ,Silty clay loam,51368231,102622256
C,No ,No ,Clay,51368232,102622257
SIC,No ,Yes,Silty clay,51368232,102622258
SIC,No ,Yes,Silty clay,51368233,102622259
C,No ,No ,Clay,51368233,102622260
C,No ,No ,Clay,51368234,102622261
SIC,No ,Yes,Silty clay,51368234,102622262
L,No ,No ,Loam,51368235,102622263
SIC,No ,Yes,Silty clay,51368235,102622264
CL,No ,No ,Clay loam,51368235,102622265
C,No ,No ,Clay,51368235,102622266
L,No ,Yes,Loam,51368236,102622267
CL,No ,No ,Clay loam,51368236,102622268
SL,No ,Yes,Sandy loam,51368237,102622269
SL,No ,No ,Sandy loam,51368238,102622270
FSL,No ,Yes,Fine sandy loam,51368238,102622271
SL,No ,No ,Sandy loam,51368239,102622272
FSL,No ,Yes,Fine sandy loam,51368239,102622273
L,No ,Yes,Loam,51368240,102622274
SCL,No ,No ,Sandy clay loam,51368240,102622275
CL,No ,No ,Clay loam,51368240,102622276
SICL,No ,No ,Silty clay loam,51368279,102622356
L,No ,No ,Loam,51368279,102622357
SIL,No ,Yes,Silt loam,51368279,102622358
CL,No ,No ,Clay loam,51368279,102622359
L,No ,No ,Loam,51368280,102622360
SICL,No ,No ,Silty clay loam,51368280,102622361
SIL,No ,Yes,Silt loam,51368280,102622362
CL,No ,No ,Clay loam,51368280,102622363
L,No ,Yes,Loam,51368281,102622364
SICL,No ,No ,Silty clay loam,51368281,102622365
SIL,No ,No ,Silt loam,51368281,102622366
CL,No ,No ,Clay loam,51368281,102622367
CL,No ,No ,Clay loam,51368282,102622368
SICL,No ,No ,Silty clay loam,51368282,102622369
L,No ,Yes,Loam,51368282,102622370
SIL,No ,No ,Silt loam,51368282,102622371
L,No ,No ,Loam,51368283,102622372
SCL,No ,No ,Sandy clay loam,51368283,102622373
CL,No ,Yes,Clay loam,51368283,102622374
L,No ,No ,Loam,51368284,102622375
SCL,No ,No ,Sandy clay loam,51368284,102622376
CL,No ,Yes,Clay loam,51368284,102622377
L,No ,Yes,Loam,51368285,102622378
L,No ,Yes,Loam,51368286,102622379
L,No ,Yes,Loam,51368287,102622380
CL,No ,Yes,Clay loam,51368288,102622381
L,No ,No ,Loam,51368288,102622382
SICL,No ,Yes,Silty clay loam,51368289,102622383
CL,No ,No ,Clay loam,51368289,102622384
L,No ,No ,Loam,51368289,102622385
SICL,No ,Yes,Silty clay loam,51368290,102622386
CL,No ,No ,Clay loam,51368290,102622387
L,No ,No ,Loam,51368290,102622388
SICL,No ,Yes,Silty clay loam,51368291,102622389
CL,No ,No ,Clay loam,51368291,102622390
L,No ,No ,Loam,51368291,102622391
L,No ,Yes,Loam,51368292,102622392
SCL,No ,No ,Sandy clay loam,51368292,102622393
CL,No ,No ,Clay loam,51368292,102622394
L,No ,Yes,Loam,51368293,102622395
SCL,No ,No ,Sandy clay loam,51368293,102622396
CL,No ,No ,Clay loam,51368293,102622397
