soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,91,91,168,Moist,184500463,114579895
91,91,168,200,200,200,Wet,184500463,114579896
0,0,0,107,107,183,Moist,184500464,114579897
107,107,183,200,200,200,Wet,184500464,114579898
0,0,0,30,30,61,Moist,184500465,114579899
30,30,61,200,200,200,Wet,184500465,114579900
0,0,0,91,91,122,Moist,184500466,114579901
91,91,122,200,200,200,Wet,184500466,114579902
0,0,0,15,15,61,Moist,184500467,114579903
15,15,61,200,200,200,Wet,184500467,114579904
0,0,0,0,0,30,Moist,184500468,114579905
0,0,30,200,200,200,Wet,184500468,114579906
0,0,0,61,61,107,Moist,184500469,114579907
61,61,107,200,200,200,Wet,184500469,114579908
0,0,0,61,61,107,Moist,184500470,114579909
61,61,107,200,200,200,Wet,184500470,114579910
0,0,0,61,61,91,Moist,184500471,114579911
61,61,91,200,200,200,Wet,184500471,114579912
0,0,0,76,76,107,Moist,184500472,114579913
76,76,107,200,200,200,Wet,184500472,114579914
0,0,0,46,46,91,Moist,184500473,114579915
46,46,91,200,200,200,Wet,184500473,114579916
0,0,0,15,15,46,Moist,184500474,114579917
15,15,46,200,200,200,Wet,184500474,114579918
0,0,0,46,46,91,Moist,184500475,114579919
46,46,91,200,200,200,Wet,184500475,114579920
0,0,0,76,76,107,Moist,184500476,114579921
76,76,107,200,200,200,Wet,184500476,114579922
