cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,mukey,mucrpyldkey
Bromegrass-alfalfa,AUM,10.6,11,11.2,NA,NA,NA,406045,13245482
Bromegrass-alfalfa hay,Tons,6.4,6.6,6.7,NA,NA,NA,406045,13245483
Corn,Bu,200,210,220,NA,NA,NA,406045,13245484
Kentucky bluegrass,AUM,3.9,3.9,4,NA,NA,NA,406045,13245485
Oats,Bu,88,91,94,NA,NA,NA,406045,13245486
Smooth bromegrass,AUM,6.5,6.6,6.7,NA,NA,NA,406045,13245487
Soybeans,Bu,58,61,64,NA,NA,NA,406045,13245488
