rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368209,5037852
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368210,5037754
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368211,5037928
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368212,5037851
Firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368213,5037853
Firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368214,5037927
Firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368215,5037755
Friable,,NA,NA,,,,Yes,51368216,5037502
Friable,,NA,NA,,,,Yes,51368217,5037876
Friable,,NA,NA,Deformable,,,Yes,51368218,5038062
Friable,,NA,NA,,,,Yes,51368219,5037875
Firm,,NA,NA,,,,Yes,51368220,5038063
Very firm,,NA,NA,,,,Yes,51368221,5037501
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368222,5037854
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368223,5037929
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368224,5037757
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368225,5037855
Firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368226,5037756
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368227,5037758
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368228,5037856
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368229,5037930
Friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368230,5037857
Firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368231,5038387
Very firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368232,5038388
Very firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368233,5037759
Very firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368234,5038389
Extremely firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368235,5037931
Very firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368236,5037933
Very friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368237,5037760
Very friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368238,5037515
Very friable,,NA,NA,,Nonsticky,Nonplastic,Yes,51368239,5038390
Firm,,NA,NA,,Nonsticky,Nonplastic,Yes,51368240,5037932
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368279,5037829
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368280,5037730
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368281,5037732
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368282,5038306
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368283,5037830
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368284,5038305
Very firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368285,5037828
Very firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368286,5037731
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368287,5038369
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368288,5038372
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368289,5038307
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368290,5038370
Friable,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368291,5038371
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368292,5037734
Firm,,NA,NA,Deformable,Slightly sticky,Slightly plastic,Yes,51368293,5037733
