taxminalogy,cokey,cotaxfmminkey
mixed,17587842,13837439
mixed,17587843,13837450
mixed,17587844,13837440
mixed,17587845,13837441
mixed,17587846,13837442
mixed,17587852,13837567
mixed,17587853,13837568
