pmgroupname,rvindicator,cokey,copmgrpkey
erosional sediments from fine-loamy till over loamy till,Yes,17587842,12715209
erosional sediments from fine-loamy till over loamy till,Yes,17587843,12715252
erosional sediments from fine-loamy till over loamy till,Yes,17587844,12715210
erosional sediments from fine-loamy till over clayey paleosol weathered from loamy till,Yes,17587845,12715211
erosional sediments from coarse-loamy till over loamy till,Yes,17587846,12715212
erosional sediments fine-loamy  over loamy till,Yes,17587852,12714983
erosional sediments fine-loamy  over loamy till,Yes,17587853,12714984
