texcl,lieutex,chtgkey,chtkey
Clay loam,,102622212,104385587
Sandy clay loam,,102622213,104384698
Loam,,102622214,104384699
Loam,,102622215,104385727
Loam,,102622216,104385589
Sandy clay loam,,102622217,104384120
Loam,,102622218,104384121
Clay loam,,102622219,104385591
Loam,,102622249,104386001
Silt loam,,102622250,104386002
Silty clay loam,,102622251,104386275
Clay loam,,102622252,104386139
Silty clay loam,,102622253,104386003
Clay loam,,102622254,104386137
Clay loam,,102622255,104386141
Silty clay loam,,102622256,104386277
Clay,,102622257,104386004
Silty clay,,102622258,104386005
Silty clay loam,,102622356,104387486
Loam,,102622357,104387446
Silt loam,,102622358,104387487
Clay loam,,102622359,104387220
Loam,,102622360,104387273
Silty clay loam,,102622361,104387274
Silt loam,,102622362,104387275
Clay loam,,102622363,104387276
Loam,,102622364,104387224
Silty clay loam,,102622365,104387451
Silt loam,,102622366,104387491
Clay loam,,102622367,104387452
Clay loam,,102622368,104387450
Silty clay loam,,102622369,104387221
Loam,,102622370,104387222
Silt loam,,102622371,104387223
Silt loam,,102622206,104384700
Loam,,102622207,104385588
Loam,,102622210,104384118
Silt loam,,102622211,104384119
Sandy loam,,102622220,104384749
Sandy clay loam,,102622221,104384750
Loam,,102622222,104384751
Silt loam,,102622227,104384747
Clay loam,,102622228,104384748
Loam,,102622229,104385636
Silty clay loam,,102622230,104385770
Loam,,102622243,104386136
Clay loam,,102622244,104386000
Loam,,102622247,104386274
Silt loam,,102622248,104386138
Clay,,102622261,104386006
Silty clay,,102622262,104386007
Loam,,102622267,104384269
Clay loam,,102622268,104384270
Loam,,102622375,104387277
Sandy clay loam,,102622376,104387489
Clay loam,,102622377,104387449
Loam,,102622379,104387490
Silty clay loam,,102622389,104387281
Clay loam,,102622390,104387493
Loam,,102622391,104387453
Loam,,102622395,104387495
Sandy clay loam,,102622396,104387225
Clay loam,,102622397,104387226
Loam,,102622208,104385728
Silt loam,,102622209,104385590
Silty clay loam,,102622223,104385772
Silt loam,,102622224,104385638
Loam,,102622225,104385773
Clay loam,,102622226,104385639
Sandy clay loam,,102622231,104384162
Loam,,102622232,104384163
Loam,,102622241,104384262
Silt loam,,102622242,104386272
Clay loam,,102622245,104386271
Loam,,102622246,104384259
Silty clay,,102622259,104384263
Clay,,102622260,104384264
Loam,,102622263,104386140
Silty clay,,102622264,104386276
Clay loam,,102622265,104384265
Clay,,102622266,104384266
Loam,,102622372,104387447
Sandy clay loam,,102622373,104387488
Clay loam,,102622374,104387448
Loam,,102622378,104387445
Loam,,102622392,104387455
Sandy clay loam,,102622393,104387497
Clay loam,,102622394,104387456
Sandy clay loam,,102622233,104385637
Clay loam,,102622234,104385771
Loam,,102622235,104384161
Loam,,102622236,104384164
Loam,,102622237,104386135
Silt loam,,102622238,104386273
Loam,,102622239,104384260
Silt loam,,102622240,104384261
Sandy loam,,102622269,104384268
Sandy loam,,102622270,104384271
Fine sandy loam,,102622271,104386280
Sandy loam,,102622272,104386278
Fine sandy loam,,102622273,104386142
Loam,,102622274,104384267
Sandy clay loam,,102622275,104386279
Clay loam,,102622276,104386143
Loam,,102622380,104387492
Clay loam,,102622381,104387494
Loam,,102622382,104387454
Silty clay loam,,102622383,104387227
Clay loam,,102622384,104387228
Loam,,102622385,104387496
Silty clay loam,,102622386,104387278
Clay loam,,102622387,104387279
Loam,,102622388,104387280
