pmorder,pmmodifier,pmgenmod,pmkind,pmorigin,copmgrpkey,copmkey
2,Loamy,,Till,,12714983,17828972
1,Fine-loamy,erosional sediments,,,12714983,17828973
2,Loamy,,Till,,12714984,17828974
1,Fine-loamy,erosional sediments,,,12714984,17828975
2,Loamy,,Till,,12715209,17829333
1,Fine-loamy,erosional sediments from,Till,,12715209,17829334
2,Loamy,,Till,,12715210,17829335
1,Fine-loamy,erosional sediments from,Till,,12715210,17829336
1,Fine-loamy,erosional sediments from,Till,,12715211,17829337
2,,clayey paleosol weathered from loamy,Till,,12715211,17829338
1,Coarse-loamy,erosional sediments from,Till,,12715212,17829339
2,Loamy,,Till,,12715212,17829340
2,Loamy,,Till,,12715252,17829343
1,Fine-loamy,erosional sediments from,Till,,12715252,17829344
