loo_cat,feature,imp
site,years_in_corn,11.241045531464795
site,prep2wk_precip_mm_tot,10.68335053317603
site,iacsr,10.171427590505862
site,prev_ccyield,10.126940640839273
site,heatstress_n,9.989974537583723
year,years_in_corn,9.803172059960465
site,ndays_gdd140,9.726372457415103
site,wintcolddays_n,9.617739874805107
year,prep2wk_precip_mm_tot,9.362020184999935
year,iacsr,9.130750816582886
year,prev_ccyield,8.998278128738384
year,heatstress_n,8.759307747437832
year,ndays_gdd140,8.613602707412335
year,wintcolddays_n,8.402398838009717
year,soc_30cm_pct,8.09048110371269
site,soc_30cm_pct,6.901687317973497
year,clay_60cm_pct,6.690179367831552
year,bhzdepth_cm,4.46977465487774
site,clay_60cm_pct,4.4632748089140035
site,bhzdepth_cm,4.421107403365929
site,wtdepth_cm,3.321543234636337
year,wtdepth_cm,3.3095587551269587
