feature,importance
years_in_corn,1.4171948748788101
prep2wk_precip_mm_tot,1.3260597385050414
iacsr,1.2893488859500586
prev_ccyield,1.2617955337810414
heatstress_n,1.2563330036959002
ndays_gdd140,1.242783505143995
wintcolddays_n,1.2117699314358579
soc_30cm_pct,1.1461909846308873
clay_60cm_pct,1.1220676256522106
wtdepth_cm,1.109975339104126
bhzdepth_cm,1.1074530016665662
