ApsimVersion = 7.9 r4044
Title = Corn_270_base
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        232.494        22016.6       1675.958        210.000        268.000          4.166          24.23       2019.724        341.300             270.0          140.1          127.9        147.117
     31/12/2001           2001        198.395        23935.6       1616.512        198.000        251.000          4.671          26.80       1773.620        403.098             270.0          129.7          120.2        170.337
     31/12/2002           2002        265.049        25029.3       1608.721        197.000        251.000          4.584          28.45       1879.595        452.882             270.0          146.5          135.7        148.964
     31/12/2003           2003        266.507        26386.7       1398.878        202.000        260.000          4.739          30.23       1659.727        466.217             270.0          143.9          133.1        152.858
     31/12/2004           2004        285.063        27514.3       1583.544        202.000        270.000          4.536          31.21       1784.686        462.784             270.0          165.1          154.7        162.688
     31/12/2005           2005        266.502        24987.0       1621.893        200.000        256.000          4.796          28.41       1930.137        571.857             270.0          169.0          156.0        147.788
     31/12/2006           2006        244.082        23341.4       1681.678        197.000        251.000          4.473          26.30       2001.345        323.088             270.0          138.3          128.2        158.458
     31/12/2007           2007        252.930        24667.9       1625.157        193.000        245.000          4.677          27.87       1788.480        437.286             270.0          149.0          139.4        165.444
     31/12/2008           2008        258.072        25742.3       1440.108        202.000        266.000          4.655          29.10       1345.773        719.582             270.0          164.6          152.8        133.551
     31/12/2009           2009        274.719        25552.2       1646.867        202.000        268.000          4.332          28.79       1832.234        407.757             270.0          160.3          148.1        151.580
     31/12/2010           2010        241.496        24205.2       1197.850        197.000        248.000          4.617          27.92       1157.532        849.884             270.0          164.4          154.8        169.311
     31/12/2011           2011        235.293        22941.0       1513.881        200.000        255.000          4.451          26.06       1603.806        326.898             270.0          160.2          145.4        109.137
     31/12/2012           2012        224.689        20967.3       1561.685        189.000        240.000          4.347          22.88       1908.162        236.970             270.0          103.2           99.7        212.499
     31/12/2013           2013        270.312        24725.9       1570.101        194.000        249.000          4.609          27.90       1673.591        276.352             270.0          104.0           89.3        122.034
     31/12/2014           2014        235.834        22871.6       1196.649        199.000        261.000          4.184          25.02       1285.508        699.262             270.0          161.4          149.8        130.075
     31/12/2015           2015        261.045        24282.1       1503.392        200.000        256.000          4.736          26.39       1532.560        735.326             270.0          168.8          157.1        165.970
     31/12/2016           2016        250.257        24400.7       1612.556        195.000        250.000          4.814          26.90       1895.421        535.960             270.0          165.9          156.6        169.657
