ApsimVersion = 7.9 r4044
Title = Corn_135_oat37
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        178.273        20663.2       1485.600        210.000        268.000          4.140          22.17       2006.086        341.300             135.0          128.7          116.5         94.854
     31/12/2001           2001        144.746        22447.3       1383.920        198.000        251.000          4.552          20.07       1757.012        403.098             135.0          118.0          108.4        109.071
     31/12/2002           2002        191.867        23609.4       1353.801        197.000        251.000          4.158          23.83       1840.842        452.882             135.0          143.8          133.0         97.149
     31/12/2003           2003        196.950        24452.6       1303.639        202.000        260.000          4.692          22.77       1632.844        466.217             135.0          146.0          135.1         99.843
     31/12/2004           2004        210.491        25785.5       1527.431        202.000        270.000          4.470          24.58       1747.445        462.784             135.0          165.7          155.3        103.499
     31/12/2005           2005        199.758        24702.4       1376.400        200.000        256.000          4.728          25.72       1897.149        571.857             135.0          165.6          152.6         97.473
     31/12/2006           2006        202.135        22653.5       1426.880        197.000        251.000          4.205          22.55       1987.789        323.088             135.0          123.6          113.4        104.838
     31/12/2007           2007        204.339        23590.0       1380.000        193.000        245.000          4.475          22.26       1770.817        437.286             135.0          140.3          130.8        105.359
     31/12/2008           2008        190.760        23917.6       1255.368        202.000        266.000          4.614          22.27       1315.385        719.582             135.0          164.3          152.4         83.454
     31/12/2009           2009        225.221        24949.5       1524.391        202.000        268.000          4.300          24.62       1803.995        407.757             135.0          158.1          145.9         97.545
     31/12/2010           2010        178.355        23686.0       1094.105        197.000        248.000          4.557          23.79       1152.054        849.884             135.0          164.4          154.8        110.611
     31/12/2011           2011        173.916        22849.7       1427.349        200.000        255.000          4.422          23.66       1594.018        326.898             135.0          158.8          144.0         66.111
     31/12/2012           2012        159.892        19569.4       1268.480        189.000        240.000          4.269          20.38       1896.301        236.970             135.0          100.2           96.7        128.511
     31/12/2013           2013        207.880        22235.0       1330.760        194.000        249.000          4.547          18.75       1658.636        276.352             135.0          100.7           85.9         75.384
     31/12/2014           2014        195.516        22710.5       1077.448        199.000        261.000          4.129          23.24       1282.675        699.262             135.0          161.4          149.7         83.519
     31/12/2015           2015        199.860        24168.8       1427.634        200.000        256.000          4.692          25.38       1510.630        735.326             135.0          169.0          157.3        108.526
     31/12/2016           2016        185.394        23096.2       1350.360        195.000        250.000          4.224          25.60       1859.603        535.960             135.0          164.7          155.4        110.399
