ApsimVersion = 7.9 r4044
Title = Corn_135_oat26
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        232.000        23817.9       1731.947        206.000        262.000          4.286          24.71       2026.205        327.330             135.0          151.4          139.2         94.854
     31/12/2001           2001        247.117        23625.0       1734.231        204.000        261.000          4.664          22.92       1819.786        405.128             135.0          147.6          138.1        109.069
     31/12/2002           2002        263.415        24899.8       1665.441        203.000        261.000          4.494          24.97       1896.298        492.002             135.0          162.7          151.9         97.150
     31/12/2003           2003        249.510        25132.1       1508.335        208.000        271.000          4.812          23.76       1715.720        482.477             135.0          158.9          148.1         99.845
     31/12/2004           2004        257.088        26171.1       1700.793        212.000        287.000          4.686          25.33       1856.858        523.754             135.0          173.5          163.1        103.500
     31/12/2005           2005        245.724        25854.2       1777.582        204.000        262.000          4.867          26.56       1948.419        580.188             135.0          176.7          163.7         97.471
     31/12/2006           2006        229.583        22802.3       1769.086        202.000        260.000          4.235          25.08       2020.342        323.596             135.0          160.6          150.4        104.837
     31/12/2007           2007        239.364        25058.1       1752.764        199.000        251.000          4.737          24.06       1824.957        452.399             135.0          163.4          153.8        105.367
     31/12/2008           2008        244.678        24172.0       1431.964        209.000        273.000          4.690          22.61       1356.282        776.732             135.0          171.5          159.7         83.458
     31/12/2009           2009        258.218        25474.3       1716.236        208.000        278.000          4.444          25.54       1847.495        407.757             135.0          162.1          149.8         97.547
     31/12/2010           2010        240.780        24090.7       1253.394        203.000        256.000          4.570          24.24       1158.608        938.022             135.0          171.9          162.3        110.613
     31/12/2011           2011        246.894        23026.1       1516.825        207.000        271.000          4.380          24.86       1684.664        327.148             135.0          168.6          153.8         66.111
     31/12/2012           2012        224.521        22300.5       1668.082        196.000        248.000          4.232          22.30       1952.005        276.850             135.0          115.9          112.4        128.509
     31/12/2013           2013        224.865        23875.6       1709.997        201.000        255.000          4.898          19.95       1731.015        286.258             135.0          119.6          104.8         75.369
     31/12/2014           2014        244.369        24691.8       1404.240        208.000        272.000          4.659          23.43       1292.650        749.300             135.0          170.2          158.6         83.514
     31/12/2015           2015        243.372        25068.8       1527.676        206.000        265.000          4.807          25.84       1550.750        757.184             135.0          178.1          166.5        108.522
     31/12/2016           2016        233.028        24105.2       1728.351        202.000        256.000          4.580          25.85       1897.021        597.940             135.0          176.8          167.6        110.396
