ApsimVersion = 7.9 r4044
Title = Corn_270_oat5
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        188.243        22016.6       1675.958        210.000        268.000          4.166          24.48       2019.724        341.300             270.0          140.1          127.9        147.117
     31/12/2001           2001        146.864        23935.6       1616.512        198.000        251.000          4.671          26.30       1773.620        403.098             270.0          129.7          120.2        170.337
     31/12/2002           2002        196.205        25029.3       1608.721        197.000        251.000          4.584          28.77       1879.595        452.882             270.0          146.5          135.7        148.965
     31/12/2003           2003        197.284        26386.7       1398.878        202.000        260.000          4.739          29.82       1659.727        466.217             270.0          143.9          133.1        152.857
     31/12/2004           2004        211.020        27514.3       1583.544        202.000        270.000          4.536          31.16       1784.686        462.784             270.0          165.1          154.7        162.687
     31/12/2005           2005        200.273        24987.0       1621.893        200.000        256.000          4.796          28.86       1930.137        571.857             270.0          169.0          156.0        147.788
     31/12/2006           2006        205.349        23341.4       1681.678        197.000        251.000          4.473          26.09       2001.345        323.088             270.0          138.3          128.2        158.457
     31/12/2007           2007        205.997        24667.9       1625.157        193.000        245.000          4.677          27.56       1788.480        437.286             270.0          149.0          139.4        165.443
     31/12/2008           2008        191.040        25742.3       1440.108        202.000        266.000          4.655          28.71       1345.773        719.582             270.0          164.6          152.8        133.551
     31/12/2009           2009        225.600        25552.2       1646.867        202.000        268.000          4.332          28.66       1832.234        407.757             270.0          160.3          148.1        151.580
     31/12/2010           2010        178.770        24205.2       1197.850        197.000        248.000          4.617          27.30       1157.532        849.884             270.0          164.4          154.8        169.310
     31/12/2011           2011        174.178        22941.0       1513.881        200.000        255.000          4.451          25.51       1603.806        326.898             270.0          160.2          145.4        109.136
     31/12/2012           2012        167.891        20967.3       1561.685        189.000        240.000          4.347          23.96       1908.161        236.970             270.0          103.2           99.7        212.498
     31/12/2013           2013        200.101        24725.9       1570.101        194.000        249.000          4.609          27.82       1673.591        276.352             270.0          104.0           89.3        122.029
     31/12/2014           2014        196.143        22871.6       1196.649        199.000        261.000          4.184          24.72       1285.508        699.262             270.0          161.4          149.8        130.063
     31/12/2015           2015        200.189        24282.1       1503.392        200.000        256.000          4.736          26.42       1532.560        735.326             270.0          168.8          157.1        165.965
     31/12/2016           2016        190.271        24400.7       1612.556        195.000        250.000          4.814          27.36       1895.421        535.960             270.0          165.9          156.6        169.655
