ApsimVersion = 7.9 r4044
Title = Corn_67_oat44
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        120.247        13424.8       1161.460        197.000        255.000          3.305          10.83       1182.540        327.330              67.4          183.7           86.1         60.597
     31/12/2001           2001        109.699        13070.2       1509.165        198.000        251.000          3.295          10.83       1271.898        403.098              67.4          186.7           87.9         54.902
     31/12/2002           2002        122.800        13753.9       1209.280        197.000        251.000          3.623          10.53       1045.827        452.882              67.4          180.4           83.2         51.041
     31/12/2003           2003        109.506        12149.3        912.363        202.000        260.000          3.258           9.38        980.613        466.217              67.4          169.7           73.5         49.952
     31/12/2004           2004        105.934        11270.5       1147.989        202.000        270.000          2.745           8.56        951.559        462.784              67.4          163.8           64.5         51.227
     31/12/2005           2005        116.224        12583.0       1235.194        196.000        252.000          3.483           9.79        972.783        538.710              67.4          171.5           70.0         49.200
     31/12/2006           2006        137.871        15184.4       1512.556        197.000        251.000          3.789          12.10       1478.065        323.088              67.4          192.1           92.6         54.334
     31/12/2007           2007        120.119        13247.3       1479.499        193.000        245.000          3.578          10.38       1121.284        437.286              67.4          184.4           86.9         47.831
     31/12/2008           2008         66.879         8902.3        834.085        202.000        266.000          2.551           6.72        679.797        719.582              67.4          154.3           48.8         43.284
     31/12/2009           2009        114.112        13246.2       1272.579        202.000        268.000          3.425           9.79       1046.724        407.757              67.4          167.5           67.3         48.353
     31/12/2010           2010         72.248         8043.3        740.907        197.000        248.000          2.288           6.70        611.823        849.884              67.4          159.3           63.2         53.351
     31/12/2011           2011        112.875        11527.0       1004.905        200.000        255.000          3.064           9.41        992.374        326.898              67.4          171.3           67.2         35.464
     31/12/2012           2012        150.427        14867.7       1381.768        189.000        240.000          3.765          12.57       1482.297        236.970              67.4          191.1          108.1         48.218
     31/12/2013           2013        124.931        12866.9       1313.663        194.000        249.000          3.435          10.26       1196.447        276.352              67.4          177.9           83.5         40.062
     31/12/2014           2014         80.247         8760.0        789.736        199.000        261.000          2.282           6.51        646.530        699.262              67.4          154.2           49.9         43.198
     31/12/2015           2015         98.395        10488.7        866.286        200.000        256.000          3.033           7.84        681.992        735.326              67.4          161.4           61.4         54.116
     31/12/2016           2016        125.887        14152.9       1451.246        195.000        250.000          3.661          11.04       1054.510        535.960              67.4          182.5           85.0         53.475
