ApsimVersion = 7.9 r4044
Title = Corn_135_oat42
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        206.582        20471.3       1485.600        210.000        268.000          3.979          21.49       2005.788        341.300             135.0          129.3          117.0         94.854
     31/12/2001           2001        182.136        21479.4       1383.920        198.000        251.000          3.797          20.65       1753.641        403.098             135.0          122.6          113.1        109.072
     31/12/2002           2002        218.259        20643.0       1353.801        197.000        251.000          3.118          23.26       1793.628        452.882             135.0          150.2          139.4         97.155
     31/12/2003           2003        250.554        24371.9       1303.291        202.000        260.000          4.630          22.79       1631.894        466.217             135.0          146.1          135.2         99.853
     31/12/2004           2004        279.578        25868.0       1527.431        202.000        270.000          4.470          24.57       1747.693        462.784             135.0          165.7          155.2        103.504
     31/12/2005           2005        247.103        23619.1       1376.400        200.000        256.000          4.094          25.86       1887.788        571.857             135.0          166.8          153.8         97.474
     31/12/2006           2006        206.708        20267.0       1426.880        197.000        251.000          3.326          22.36       1985.753        323.088             135.0          133.1          122.9        104.841
     31/12/2007           2007        227.666        22605.5       1380.000        193.000        245.000          3.786          22.55       1776.075        437.286             135.0          142.3          132.7        105.366
     31/12/2008           2008        252.444        23726.2       1255.034        202.000        266.000          4.524          22.26       1311.861        719.582             135.0          164.3          152.4         83.459
     31/12/2009           2009        256.608        24214.2       1523.991        202.000        268.000          4.019          24.69       1796.736        407.757             135.0          158.3          146.1         97.548
     31/12/2010           2010        240.584        23360.5       1094.076        197.000        248.000          4.520          23.78       1148.285        849.884             135.0          164.4          154.7        110.613
     31/12/2011           2011        234.940        22683.1       1427.349        200.000        255.000          4.422          23.64       1593.984        326.898             135.0          159.2          144.4         66.112
     31/12/2012           2012        195.823        19087.4       1268.480        189.000        240.000          3.724          19.70       1897.416        236.970             135.0          101.6           98.1        128.513
     31/12/2013           2013        234.787        22057.2       1330.760        194.000        249.000          4.106          18.85       1656.007        276.352             135.0          101.5           86.8         75.389
     31/12/2014           2014        234.767        22707.5       1077.448        199.000        261.000          4.129          23.24       1282.644        699.262             135.0          161.4          149.8         83.526
     31/12/2015           2015        260.339        24168.8       1427.634        200.000        256.000          4.692          25.35       1510.631        735.326             135.0          169.0          157.3        108.530
     31/12/2016           2016        199.396        19940.2       1350.360        195.000        250.000          3.130          22.15       1806.145        535.960             135.0          167.3          158.1        110.401
