ApsimVersion = 7.9 r4044
Title = Corn_202_oat45
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        211.834        20848.6       1270.896        197.000        255.000          3.836          19.41       1364.851        327.330             202.0          172.9           73.1        132.406
     31/12/2001           2001        190.445        20378.0       1544.205        198.000        251.000          4.204          18.91       1496.251        403.098             202.0          182.7           82.8        120.477
     31/12/2002           2002        221.263        21510.6       1355.151        197.000        251.000          4.232          19.38       1283.659        452.882             202.0          181.7           80.9        104.935
     31/12/2003           2003        194.949        20317.7       1071.246        202.000        260.000          4.059          17.51       1210.180        466.217             202.0          170.0           71.2        104.157
     31/12/2004           2004        199.445        20515.5       1354.496        202.000        270.000          4.019          17.02       1240.651        462.784             202.0          172.3           70.3        117.047
     31/12/2005           2005        218.123        21338.0       1399.206        196.000        252.000          4.209          19.51       1298.836        538.710             202.0          181.2           78.8        103.519
     31/12/2006           2006        233.465        22112.2       1555.605        197.000        251.000          4.118          22.66       1663.799        323.088             202.0          194.8           94.7        123.397
     31/12/2007           2007        203.170        21062.8       1541.463        193.000        245.000          4.238          19.00       1421.436        437.286             202.0          188.8           90.5        108.819
     31/12/2008           2008        173.271        17758.1       1065.330        202.000        266.000          3.934          14.74        869.915        719.582             202.0          163.8           54.4         93.576
     31/12/2009           2009        205.971        21052.3       1431.346        202.000        268.000          3.879          18.70       1342.512        407.757             202.0          174.5           71.1        103.736
     31/12/2010           2010        160.947        15642.3        924.255        197.000        248.000          3.356          14.24        711.456        849.884             202.0          165.3           67.4        119.022
     31/12/2011           2011        205.732        19363.0       1164.860        200.000        255.000          4.083          17.50       1180.814        326.898             202.0          174.9           64.4         79.109
     31/12/2012           2012        232.840        20795.1       1455.541        189.000        240.000          4.059          19.32       1583.789        236.970             202.0          146.0           62.7        134.031
     31/12/2013           2013        196.805        19608.5       1400.425        194.000        249.000          4.016          16.21       1370.212        276.352             202.0          150.1           49.8         90.097
     31/12/2014           2014        158.143        16138.5        937.880        199.000        261.000          3.203          14.40        817.984        699.262             202.0          162.5           56.4         89.695
     31/12/2015           2015        200.064        19913.1       1121.476        200.000        256.000          4.173          17.37        913.372        735.326             202.0          172.4           71.3        114.133
     31/12/2016           2016        223.029        22134.2       1523.400        195.000        250.000          4.388          20.83       1334.251        535.960             202.0          189.2           91.1        113.704
