ApsimVersion = 7.9 r4044
Title = Corn_135_oat43
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        168.485        17488.8       1228.158        197.000        255.000          3.647          15.33       1301.364        327.330             135.0          182.1           83.1        100.242
     31/12/2001           2001        175.865        17194.7       1531.377        198.000        251.000          3.989          14.99       1423.571        403.098             135.0          187.7           87.9         92.223
     31/12/2002           2002        172.168        17826.7       1289.135        197.000        251.000          3.994          14.97       1173.986        452.882             135.0          183.6           84.3         80.938
     31/12/2003           2003        157.756        16682.3       1039.141        202.000        260.000          3.848          13.70       1117.920        466.217             135.0          172.6           74.7         80.271
     31/12/2004           2004        155.197        16143.7       1270.097        202.000        270.000          3.667          12.83       1096.567        462.784             135.0          168.9           67.2         87.448
     31/12/2005           2005        168.554        17217.3       1354.405        196.000        252.000          3.969          14.60       1142.647        538.710             135.0          177.4           75.1         79.106
     31/12/2006           2006        191.219        18862.4       1528.963        197.000        251.000          3.954          17.36       1594.180        323.088             135.0          194.8           94.8         92.207
     31/12/2007           2007        164.632        17430.0       1516.225        193.000        245.000          4.043          14.73       1303.387        437.286             135.0          188.6           90.4         82.401
     31/12/2008           2008        124.838        13106.8        997.302        202.000        266.000          3.427          10.20        750.639        719.582             135.0          158.8           50.3         70.850
     31/12/2009           2009        160.753        17232.9       1386.866        202.000        268.000          3.691          14.12       1198.835        407.757             135.0          171.9           69.1         79.374
     31/12/2010           2010        115.649        11492.3        819.840        197.000        248.000          2.917          10.06        657.982        849.884             135.0          161.8           64.3         90.188
     31/12/2011           2011        159.500        15656.8       1094.732        200.000        255.000          3.822          13.53       1102.727        326.898             135.0          175.8           66.8         58.195
     31/12/2012           2012        190.439        17639.6       1414.260        189.000        240.000          3.738          15.82       1533.331        236.970             135.0          167.9           84.8         92.902
     31/12/2013           2013        159.777        16235.8       1394.612        194.000        249.000          3.842          13.13       1306.161        276.352             135.0          167.9           66.5         66.949
     31/12/2014           2014        121.518        12516.7        869.346        199.000        261.000          2.823          10.61        742.532        699.262             135.0          159.5           53.7         68.787
     31/12/2015           2015        148.533        15083.1       1007.962        200.000        256.000          3.813          12.49        798.529        735.326             135.0          167.7           66.9         87.728
     31/12/2016           2016        176.928        18493.0       1522.632        195.000        250.000          4.149          15.85       1199.925        535.960             135.0          186.2           88.4         87.466
