ApsimVersion = 7.9 r4044
Title = Corn_67_oat19
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        120.030        13602.6       1182.560        197.000        255.000          3.496          10.82       1177.564        327.330              67.4          183.5           85.8         60.597
     31/12/2001           2001        102.332        13258.5       1503.495        198.000        251.000          3.530          10.82       1270.753        403.098              67.4          186.6           87.6         54.902
     31/12/2002           2002        122.631        13910.6       1235.442        197.000        251.000          3.784          10.57       1046.022        452.882              67.4          180.4           83.0         51.041
     31/12/2003           2003        109.243        12349.1        921.785        202.000        260.000          3.480           9.40        977.041        466.217              67.4          169.5           73.1         49.952
     31/12/2004           2004        106.106        11479.9       1172.217        202.000        270.000          2.970           8.54        945.370        462.784              67.4          163.5           64.0         51.227
     31/12/2005           2005        115.549        12819.7       1270.160        196.000        252.000          3.746           9.80        966.968        538.710              67.4          171.1           69.5         49.200
     31/12/2006           2006        138.266        15421.6       1531.997        197.000        251.000          4.127          12.12       1482.577        323.088              67.4          192.0           92.5         54.334
     31/12/2007           2007        118.951        13376.1       1509.256        193.000        245.000          3.803          10.37       1107.680        437.286              67.4          184.1           86.6         47.831
     31/12/2008           2008         59.401         9062.6        827.181        202.000        266.000          2.737           6.70        677.550        719.582              67.4          154.1           48.6         43.284
     31/12/2009           2009        113.231        13384.9       1283.729        202.000        268.000          3.679           9.78       1045.466        407.757              67.4          167.4           67.0         48.353
     31/12/2010           2010         67.724         8154.6        740.589        197.000        248.000          2.436           6.70        607.776        849.884              67.4          158.9           62.8         53.351
     31/12/2011           2011        112.750        11828.3       1008.541        200.000        255.000          3.294           9.44        988.982        326.898              67.4          171.1           66.7         35.464
     31/12/2012           2012        151.020        15070.2       1436.559        189.000        240.000          3.961          12.67       1488.999        236.970              67.4          192.8          109.7         48.218
     31/12/2013           2013        124.239        12964.2       1351.397        194.000        249.000          3.628          10.22       1194.427        276.352              67.4          178.4           83.1         40.062
     31/12/2014           2014         83.689         9382.5        831.946        199.000        261.000          2.521           6.90        645.792        699.262              67.4          154.2           49.8         43.198
     31/12/2015           2015         98.648        10698.6        855.031        200.000        256.000          3.272           7.78        671.052        735.326              67.4          160.6           60.6         54.116
     31/12/2016           2016        125.749        14304.7       1519.927        195.000        250.000          3.925          11.03       1055.626        535.960              67.4          182.5           84.8         53.475
