ApsimVersion = 7.9 r4044
Title = Corn_270_oat46
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        206.680        22410.4       1279.741        197.000        255.000          3.859          23.88       1378.310        327.330             270.0          164.6           64.6        161.002
     31/12/2001           2001        166.040        22790.9       1543.952        198.000        251.000          4.241          23.52       1518.591        403.098             270.0          177.2           77.2        144.633
     31/12/2002           2002        219.900        23704.1       1360.308        197.000        251.000          4.296          24.15       1314.209        452.882             270.0          176.7           74.9        126.509
     31/12/2003           2003        218.024        22672.7       1073.513        202.000        260.000          4.104          21.08       1250.932        466.217             270.0          161.9           62.5        125.417
     31/12/2004           2004        233.332        23478.5       1360.177        202.000        270.000          4.055          21.42       1324.438        462.784             270.0          174.1           71.8        143.535
     31/12/2005           2005        234.014        23778.1       1402.376        196.000        252.000          4.254          24.65       1345.215        538.710             270.0          181.7           79.3        125.766
     31/12/2006           2006        229.184        22477.5       1556.845        197.000        251.000          4.153          24.75       1666.815        323.088             270.0          194.3           94.2        151.371
     31/12/2007           2007        231.470        23686.9       1543.782        193.000        245.000          4.366          23.80       1455.487        437.286             270.0          188.6           90.2        131.512
     31/12/2008           2008        211.561        21249.3       1103.536        202.000        266.000          4.178          19.03        942.746        719.582             270.0          167.5           57.7        114.296
     31/12/2009           2009        249.812        23809.9       1433.421        202.000        268.000          3.919          23.70       1395.926        407.757             270.0          175.3           71.5        125.346
     31/12/2010           2010        190.835        19192.4        988.689        197.000        248.000          3.607          18.40        776.578        849.884             270.0          168.8           70.7        144.145
     31/12/2011           2011        192.942        21451.8       1169.129        200.000        255.000          4.093          21.23       1202.666        326.898             270.0          167.3           55.8         99.267
     31/12/2012           2012        203.519        22137.1       1460.050        189.000        240.000          4.096          23.48       1578.564        236.970             270.0          138.8           55.5        172.559
     31/12/2013           2013        233.194        22190.8       1401.399        194.000        249.000          4.146          19.82       1383.574        276.352             270.0          133.5           32.7        111.590
     31/12/2014           2014        198.160        19327.6        951.606        199.000        261.000          3.349          18.41        895.423        699.262             270.0          165.3           59.0        108.867
     31/12/2015           2015        222.852        22807.1       1139.210        200.000        256.000          4.296          22.00        983.204        735.326             270.0          174.8           73.6        137.456
     31/12/2016           2016        212.739        23474.4       1525.241        195.000        250.000          4.451          25.92       1366.629        535.960             270.0          189.8           91.5        136.531
