ApsimVersion = 7.9 r4044
Title = Corn_135_oat2
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        167.510        18355.1       1277.187        197.000        255.000          4.117          15.39       1320.208        327.330             135.0          183.7           84.6        100.242
     31/12/2001           2001        154.227        17693.2       1545.296        198.000        251.000          4.427          14.89       1445.644        403.098             135.0          187.4           87.6         92.223
     31/12/2002           2002        170.857        18767.6       1380.164        197.000        251.000          4.479          14.98       1213.535        452.882             135.0          183.8           84.2         80.937
     31/12/2003           2003        155.655        17211.9       1024.514        202.000        260.000          4.254          13.72       1104.398        466.217             135.0          172.6           74.7         80.270
     31/12/2004           2004        153.557        16549.8       1284.842        202.000        270.000          3.895          12.85       1095.716        462.784             135.0          168.6           66.9         87.448
     31/12/2005           2005        167.859        17862.6       1394.419        196.000        252.000          4.433          14.62       1155.459        538.710             135.0          177.4           75.1         79.106
     31/12/2006           2006        188.477        19894.6       1561.501        197.000        251.000          4.477          17.24       1638.700        323.088             135.0          195.1           95.2         92.207
     31/12/2007           2007        163.707        17952.8       1527.057        193.000        245.000          4.487          14.69       1317.208        437.286             135.0          188.5           90.2         82.400
     31/12/2008           2008        126.172        13516.9       1004.434        202.000        266.000          3.604          10.34        750.928        719.582             135.0          158.6           50.2         70.849
     31/12/2009           2009        160.754        18102.1       1472.438        202.000        268.000          4.176          14.14       1225.791        407.757             135.0          171.9           69.2         79.373
     31/12/2010           2010        115.082        11882.0        819.934        197.000        248.000          3.135          10.07        654.030        849.884             135.0          161.4           63.9         90.188
     31/12/2011           2011        159.008        16142.2       1112.915        200.000        255.000          4.078          13.52       1096.951        326.898             135.0          175.5           66.5         58.194
     31/12/2012           2012        183.172        18343.3       1472.349        189.000        240.000          4.256          15.56       1566.470        236.970             135.0          168.5           85.0         92.902
     31/12/2013           2013        159.042        16698.3       1405.239        194.000        249.000          4.223          13.17       1314.804        276.352             135.0          169.3           67.1         66.947
     31/12/2014           2014        123.704        13483.2        875.150        199.000        261.000          3.513          10.65        729.173        699.262             135.0          158.9           53.1         68.786
     31/12/2015           2015        151.226        15835.9       1022.436        200.000        256.000          4.160          12.71        803.180        735.326             135.0          167.7           66.8         87.728
     31/12/2016           2016        174.837        19284.3       1524.167        195.000        250.000          4.642          15.74       1241.019        535.960             135.0          186.4           88.4         87.466
