ApsimVersion = 7.9 r4044
Title = Corn_135_base
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        232.012        21926.9       1675.929        210.000        268.000          4.138          23.11       2019.680        341.300             135.0          140.1          127.9         94.854
     31/12/2001           2001        197.802        22681.8       1615.960        198.000        251.000          4.623          21.56       1771.992        403.098             135.0          132.1          122.6        109.070
     31/12/2002           2002        262.918        24376.5       1608.365        197.000        251.000          4.563          24.13       1881.561        452.882             135.0          148.4          137.6         97.148
     31/12/2003           2003        252.064        24498.6       1397.667        202.000        260.000          4.689          23.14       1650.221        466.217             135.0          149.8          138.9         99.840
     31/12/2004           2004        280.286        25909.9       1583.772        202.000        270.000          4.469          24.70       1771.623        462.784             135.0          166.8          156.4        103.498
     31/12/2005           2005        264.134        24809.4       1621.772        200.000        256.000          4.778          26.13       1933.229        571.857             135.0          169.1          156.1         97.472
     31/12/2006           2006        242.437        23148.4       1681.407        197.000        251.000          4.456          23.99       2000.903        323.088             135.0          138.7          128.6        104.839
     31/12/2007           2007        242.590        23896.7       1624.802        193.000        245.000          4.645          23.26       1787.515        437.286             135.0          149.8          140.2        105.361
     31/12/2008           2008        253.600        23809.8       1434.455        202.000        266.000          4.615          22.28       1319.518        719.582             135.0          164.1          152.3         83.455
     31/12/2009           2009        263.079        24798.5       1646.163        202.000        268.000          4.296          24.89       1828.290        407.757             135.0          160.6          148.4         97.546
     31/12/2010           2010        240.944        23402.0       1198.156        197.000        248.000          4.558          23.81       1151.236        849.884             135.0          164.3          154.7        110.612
     31/12/2011           2011        234.939        22697.1       1505.398        200.000        255.000          4.422          23.73       1603.977        326.898             135.0          160.6          145.7         66.112
     31/12/2012           2012        224.695        20937.6       1561.674        189.000        240.000          4.345          21.18       1908.097        236.970             135.0          103.3           99.8        128.511
     31/12/2013           2013        242.271        22670.5       1569.557        194.000        249.000          4.546          19.87       1672.869        276.352             135.0          113.9           99.1         75.379
     31/12/2014           2014        234.766        22704.7       1198.498        199.000        261.000          4.128          23.29       1284.675        699.262             135.0          161.4          149.8         83.518
     31/12/2015           2015        260.328        24165.3       1502.838        200.000        256.000          4.691          25.33       1531.090        735.326             135.0          168.8          157.1        108.526
     31/12/2016           2016        249.898        24330.4       1612.306        195.000        250.000          4.797          25.83       1894.363        535.960             135.0          166.1          156.8        110.399
