ApsimVersion = 7.9 r4044
Title = Corn_270_oat19
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        244.810        23282.4       1301.406        197.000        255.000          4.162          23.80       1388.305        327.330             270.0          163.1           63.1        161.002
     31/12/2001           2001        197.199        23213.3       1555.908        198.000        251.000          4.575          23.17       1517.762        403.098             270.0          174.7           74.6        144.632
     31/12/2002           2002        261.200        24222.9       1390.869        197.000        251.000          4.497          24.13       1334.398        452.882             270.0          176.6           74.7        126.508
     31/12/2003           2003        236.503        23292.7       1077.972        202.000        260.000          4.436          21.14       1257.919        466.217             270.0          161.9           62.4        125.416
     31/12/2004           2004        248.509        24044.2       1368.091        202.000        270.000          4.418          21.41       1334.466        462.784             270.0          174.3           72.0        143.534
     31/12/2005           2005        265.229        24459.2       1409.059        196.000        252.000          4.623          24.64       1360.694        538.710             270.0          182.1           79.6        125.766
     31/12/2006           2006        246.137        23468.8       1565.591        197.000        251.000          4.543          26.34       1681.811        323.088             270.0          194.1           93.9        151.370
     31/12/2007           2007        243.782        23907.6       1546.074        193.000        245.000          4.576          23.63       1462.661        437.286             270.0          187.6           89.2        131.511
     31/12/2008           2008        221.256        21582.3       1114.944        202.000        266.000          4.449          19.06        944.363        719.582             270.0          167.5           57.7        114.295
     31/12/2009           2009        254.013        24251.4       1512.209        202.000        268.000          4.262          23.69       1416.148        407.757             270.0          175.6           71.8        125.345
     31/12/2010           2010        204.418        19499.0       1001.947        197.000        248.000          3.757          18.57        776.477        849.884             270.0          168.8           70.7        144.145
     31/12/2011           2011        234.709        21859.1       1156.925        200.000        255.000          4.403          21.31       1205.872        326.898             270.0          168.2           56.6         99.267
     31/12/2012           2012        244.210        22461.3       1480.906        189.000        240.000          4.318          23.17       1583.710        236.970             270.0          135.1           51.6        172.558
     31/12/2013           2013        236.946        22283.1       1408.836        194.000        249.000          4.388          19.54       1389.708        276.352             270.0          131.8           30.6        111.589
     31/12/2014           2014        198.542        19944.3        982.188        199.000        261.000          3.842          18.54        897.332        699.262             270.0          165.2           58.9        108.866
     31/12/2015           2015        245.956        23189.4       1152.318        200.000        256.000          4.608          22.05        988.278        735.326             270.0          174.8           73.6        137.456
     31/12/2016           2016        249.469        24253.4       1533.241        195.000        250.000          4.768          25.99       1392.579        535.960             270.0          190.3           91.9        136.530
