ApsimVersion = 7.9 r4044
Title = Corn_135_oat16
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        225.994        22972.3       1731.586        206.000        262.000          3.978          24.44       2025.734        327.330             135.0          154.3          142.1         94.854
     31/12/2001           2001        241.365        23301.3       1731.461        204.000        261.000          4.481          23.38       1818.445        405.128             135.0          150.7          141.2        109.070
     31/12/2002           2002        257.716        24653.8       1663.943        203.000        261.000          4.403          25.18       1896.915        492.002             135.0          164.2          153.3         97.152
     31/12/2003           2003        243.310        24622.9       1523.564        208.000        271.000          4.563          23.88       1707.631        482.477             135.0          159.3          148.4         99.847
     31/12/2004           2004        247.577        25706.4       1708.912        212.000        287.000          4.441          25.50       1860.443        523.754             135.0          173.5          163.1        103.502
     31/12/2005           2005        235.285        25369.0       1776.836        204.000        262.000          4.690          26.77       1948.301        580.188             135.0          177.3          164.2         97.472
     31/12/2006           2006        230.693        22498.6       1766.808        202.000        260.000          4.153          24.85       2019.488        323.596             135.0          164.2          154.1        104.838
     31/12/2007           2007        240.992        24757.8       1751.683        199.000        251.000          4.597          24.39       1824.480        452.399             135.0          165.3          155.8        105.370
     31/12/2008           2008        247.539        23856.1       1413.714        209.000        273.000          4.404          22.71       1367.844        776.732             135.0          171.9          160.1         83.461
     31/12/2009           2009        254.173        24717.5       1708.676        208.000        278.000          4.093          25.74       1839.970        407.757             135.0          162.5          150.2         97.548
     31/12/2010           2010        228.281        23474.2       1260.308        203.000        256.000          4.264          24.31       1159.236        938.022             135.0          172.0          162.4        110.615
     31/12/2011           2011        241.237        22445.1       1524.200        207.000        271.000          4.176          24.38       1691.112        327.148             135.0          169.0          154.2         66.112
     31/12/2012           2012        227.280        22121.0       1667.697        196.000        248.000          4.167          22.48       1951.984        276.850             135.0          117.7          114.2        128.509
     31/12/2013           2013        226.323        23505.3       1707.703        201.000        255.000          4.596          20.23       1730.821        286.258             135.0          122.1          107.2         75.371
     31/12/2014           2014        240.738        24038.8       1415.001        208.000        272.000          4.332          23.52       1291.774        749.300             135.0          170.4          158.7         83.516
     31/12/2015           2015        231.187        24283.1       1528.104        206.000        265.000          4.500          25.89       1543.855        757.184             135.0          178.0          166.4        108.524
     31/12/2016           2016        225.269        24164.0       1729.227        202.000        256.000          4.671          26.23       1902.006        597.940             135.0          178.0          168.7        110.397
