ApsimVersion = 7.9 r4044
Title = Corn_0_oat32
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        165.457        16859.6       1661.657        210.000        268.000          3.730          14.59       2002.592        341.300               0.0          160.4          148.2         28.743
     31/12/2001           2001        118.176        15055.8       1585.762        198.000        251.000          3.708          13.38       1707.897        403.098               0.0          160.1          150.6         18.766
     31/12/2002           2002        158.746        15701.0       1551.919        197.000        251.000          3.693          13.60       1705.332        452.882               0.0          163.2          152.4         21.065
     31/12/2003           2003        158.926        16212.5       1277.658        202.000        260.000          3.979          13.90       1481.053        466.217               0.0          163.1          152.2         22.801
     31/12/2004           2004        170.358        16889.7       1518.765        202.000        270.000          3.806          13.96       1579.995        462.784               0.0          166.3          155.9         19.194
     31/12/2005           2005        166.243        16677.5       1602.034        200.000        256.000          4.101          14.84       1784.775        571.857               0.0          172.9          159.9         24.846
     31/12/2006           2006        161.715        16099.0       1661.681        197.000        251.000          3.867          14.46       1979.094        323.088               0.0          166.3          156.2         23.503
     31/12/2007           2007        156.956        15974.9       1596.642        193.000        245.000          3.991          14.01       1694.909        437.286               0.0          166.3          156.7         17.954
     31/12/2008           2008        152.904        14564.0       1207.959        202.000        266.000          3.362          12.57       1052.638        719.582               0.0          156.9          145.1         14.082
     31/12/2009           2009        160.894        16374.1       1581.716        202.000        268.000          3.735          13.98       1668.163        407.757               0.0          163.1          150.9         18.762
     31/12/2010           2010        151.482        15287.5       1027.420        197.000        248.000          3.964          13.14        978.158        849.884               0.0          156.7          147.1         23.135
     31/12/2011           2011        165.511        15482.1       1355.990        200.000        255.000          3.710          13.61       1475.287        326.898               0.0          168.0          153.2         15.678
     31/12/2012           2012        155.705        15709.9       1558.722        189.000        240.000          3.905          12.71       1893.778        236.970               0.0          129.3          125.9         28.270
     31/12/2013           2013        146.665        14467.9       1539.123        194.000        249.000          3.800          11.83       1592.903        276.352               0.0          147.6          132.9         13.639
     31/12/2014           2014        149.510        15289.1       1116.454        199.000        261.000          3.663          13.17       1085.307        699.262               0.0          157.6          146.0         17.551
     31/12/2015           2015        169.458        16697.5       1398.108        200.000        256.000          4.110          14.23       1326.155        735.326               0.0          164.5          152.8         25.040
     31/12/2016           2016        166.578        16423.4       1593.991        195.000        250.000          3.894          14.71       1733.729        535.960               0.0          167.9          158.6         24.287
