ApsimVersion = 7.9 r4044
Title = Corn_135_oat4
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        224.630        20540.7       1662.010        210.000        268.000          3.823          22.76       2008.056        341.300             135.0          144.3          132.1         94.854
     31/12/2001           2001        194.011        22054.9       1606.460        198.000        251.000          4.433          22.14       1759.325        403.098             135.0          135.2          125.7        109.073
     31/12/2002           2002        259.638        23335.0       1594.145        197.000        251.000          4.322          24.54       1850.340        452.882             135.0          150.4          139.6         97.153
     31/12/2003           2003        251.912        23559.3       1352.367        202.000        260.000          4.474          23.17       1619.512        466.217             135.0          148.6          137.8         99.844
     31/12/2004           2004        281.350        25083.1       1560.736        202.000        270.000          4.286          24.92       1740.492        462.784             135.0          166.8          156.4        103.501
     31/12/2005           2005        257.502        23494.1       1612.843        200.000        256.000          4.518          26.52       1903.413        571.857             135.0          171.0          158.0         97.475
     31/12/2006           2006        238.172        22125.3       1671.338        197.000        251.000          4.334          24.47       1992.187        323.088             135.0          143.4          133.3        104.843
     31/12/2007           2007        242.924        22983.4       1613.581        193.000        245.000          4.417          23.94       1774.627        437.286             135.0          153.2          143.6        105.366
     31/12/2008           2008        254.733        23006.7       1320.983        202.000        266.000          4.385          22.34       1279.884        719.582             135.0          163.4          151.6         83.459
     31/12/2009           2009        261.899        23860.8       1618.624        202.000        268.000          4.110          25.21       1798.898        407.757             135.0          161.2          149.0         97.549
     31/12/2010           2010        237.112        22414.5       1158.086        197.000        248.000          4.377          23.68       1123.628        849.884             135.0          163.4          153.7        110.614
     31/12/2011           2011        231.529        21583.4       1455.683        200.000        255.000          4.211          23.53       1576.918        326.898             135.0          160.4          145.6         66.114
     31/12/2012           2012        217.774        19693.1       1559.167        189.000        240.000          4.000          20.64       1895.549        236.970             135.0          106.7          103.3        128.515
     31/12/2013           2013        246.289        21961.2       1548.533        194.000        249.000          4.230          20.33       1657.982        276.352             135.0          115.9          101.1         75.387
     31/12/2014           2014        227.056        21426.8       1180.692        199.000        261.000          3.937          23.25       1253.352        699.262             135.0          161.1          149.4         83.526
     31/12/2015           2015        251.372        22714.4       1485.252        200.000        256.000          4.414          24.85       1468.547        735.326             135.0          168.2          156.5        108.531
     31/12/2016           2016        242.128        22933.5       1605.025        195.000        250.000          4.582          25.47       1866.980        535.960             135.0          168.0          158.8        110.403
